source,target,tgt_lng
%%%s %s,%s%% %s,zh-CN
%2$s %1$s%%,%s%% %s,zh-CN
%2$s +%1$s,+%s %s,zh-CN
%2$s +%1$s%%,+%s%% %s,zh-CN
%2$s -%1$s,-%s %s,zh-CN
%2$s -%1$s%%,-%s%% %s,zh-CN
%2$s: %1$s,%s %s,zh-CN
%2$s: %1$s%%,%s%% %s,zh-CN
%2$s: +%1$s,+%s %s,zh-CN
%2$s: +%1$s%%,+%s%% %s,zh-CN
%2$s: -%1$s,-%s %s,zh-CN
%2$s: -%1$s%%,-%s%% %s,zh-CN
%s %% %s,%s%% %s,zh-CN
%s %% en %s,%s%% %s,zh-CN
%s en %s,%s %s,zh-CN
+%%%s %s,+%s%% %s,zh-CN
+%s %% %s,+%s%% %s,zh-CN
+%s %% en %s,+%s%% %s,zh-CN
+%s en %s,+%s %s,zh-CN
-%%%s %s,-%s%% %s,zh-CN
-%s %% %s,-%s%% %s,zh-CN
-%s %% en %s,-%s%% %s,zh-CN
-%s en %s,-%s %s,zh-CN
Abbaueffizienz,挖掘效率,zh-CN
Absorción máxima,最大伤害吸收值,zh-CN
absorption maximale,最大伤害吸收值,zh-CN
Absorção máxima,最大伤害吸收值,zh-CN
Ad Etiketi Mesafesi,名牌距离,zh-CN
Ad Etiketi Puan Mesafesi,名牌分数距离,zh-CN
Adım Yüksekliği,最大行走高度,zh-CN
Air Drag Modifier,空气阻力修正系数,zh-CN
Alcance de atração das criaturas,生物引诱范围,zh-CN
Alcance de detecção do marcador,路径点接收距离,zh-CN
Alcance de interação com blocos,方块交互距离,zh-CN
Alcance de interação com entidades,实体交互距离,zh-CN
Alcance de perseguição das criaturas,生物跟随距离,zh-CN
Alcance de transmissão do marcador,路径点传输距离,zh-CN
Altezza del passo,最大行走高度,zh-CN
Altura de paso,最大行走高度,zh-CN
Altura dos passos,最大行走高度,zh-CN
Angriffsgeschwindigkeit,攻击速度,zh-CN
Angriffsrückstoß,击退,zh-CN
Angriffsschaden,攻击伤害,zh-CN
Armadura,护甲值,zh-CN
Armatura,护甲值,zh-CN
Armor,护甲值,zh-CN
Armor Toughness,盔甲韧性,zh-CN
Assorbimento massimo,最大伤害吸收值,zh-CN
At Zıplama Gücü,马匹跳跃能力,zh-CN
Attack Damage,攻击伤害,zh-CN
Attack Knockback,击退,zh-CN
Attack Speed,攻击速度,zh-CN
Bewegungseffizienz,移动效率,zh-CN
Block Break Speed,方块破坏速度,zh-CN
Block Interaction Range,方块交互距离,zh-CN
Blockabbaugeschwindigkeit,方块破坏速度,zh-CN
Block‐Interaktionsweite,方块交互距离,zh-CN
Blok Etkileşim Mesafesi,方块交互距离,zh-CN
Blok Kırma Hızı,方块破坏速度,zh-CN
bonus d'oxygène,额外氧气,zh-CN
Bounciness,弹性,zh-CN
