source,target,tgt_lng
"""Night Warden Wars""",巡夜者战争,zh-CN
"""Pilgrimage""",归火圣夜巡礼,zh-CN
Adeptal energy,仙力,zh-CN
Adepti Sigil,仙家符箓,zh-CN
Adeptus / Adepti,仙人,zh-CN
Adeptus name,仙名 / 仙号,zh-CN
Akasha,虚空,zh-CN
Akasha Terminal,虚空终端,zh-CN
Amenoma Art,天目流,zh-CN
Amrita,甘露 / 甘露活水,zh-CN
Amurta,生论派 / 阿弥利多学院,zh-CN
Ararakalari,兰迦拉梨,zh-CN
Archon War,魔神战争,zh-CN
Azosite,阿索斯物质,zh-CN
Big Iron Chunks,大铁块,zh-CN
Book of Revealing,揭示之书,zh-CN
Cocogoat,椰羊,zh-CN
Dandelion Wine,蒲公英酒,zh-CN
Dark Calamity,黑灾,zh-CN
Darshan,学派 / 学院,zh-CN
Dastur,陀裟多,zh-CN
Delusion,邪眼,zh-CN
Descenders,降临者,zh-CN
Dev,迪弗,zh-CN
Divine Knowledge Capsule,神明罐装知识,zh-CN
Driyosh,游学者,zh-CN
Electro Mitsudomoe,雷之三重巴,zh-CN
Emergency Food,应急食品,zh-CN
Exuvia,仙祖法蜕,zh-CN
Festival Utsava,无忧节,zh-CN
Fire-Water,火水,zh-CN
Genshin Impact,原神（标题）,zh-CN
Gnosis,神之心,zh-CN
God,魔神,zh-CN
Grand Conservator,大掌书,zh-CN
Great Vayuvyastra,大风机关,zh-CN
Gurabad,居尔城,zh-CN
Haravatat,知论派 / 室罗婆耽学院,zh-CN
Harbinger,执行官,zh-CN
Holy Lyre der Himmel,天空之琴,zh-CN
Indemnitium,律偿混能,zh-CN
Inteyvat,因提瓦特,zh-CN
Jnagarbha Day,识藏日,zh-CN
Knowledge Capsule / Canned Knowledge,罐装知识,zh-CN
Kshahrewar,妙论派 / 刹诃伐罗学院,zh-CN
Ley Line,地脉,zh-CN
Li style,璃菜,zh-CN
Looking Glass,谜镜,zh-CN
Loom of Fate,命运的织机,zh-CN
Ludi Harpastum,羽球节,zh-CN
Magic Tonic,魔水,zh-CN
Mahamata,教令官,zh-CN
Marana,无留陀,zh-CN
Maushiro,木簧笛,zh-CN
Musou no Hitotachi,无想的一刀,zh-CN
Nara,那菈,zh-CN
Neo Akasha Terminal,新型虚空终端,zh-CN
Night Wars,狩夜者战争,zh-CN
Paripurna Life,寂静圆满期,zh-CN
Phaethon,法厄同,zh-CN
Plaustrite,浮生石,zh-CN
Raiden Gokaden,雷电五传,zh-CN
Remuria,雷穆利亚,zh-CN
Rite of Ab-Zohr,祭水之仪,zh-CN
Rite of Chinvat,离渡之仪,zh-CN
Rite of Descension,请仙,zh-CN
Rite of Parting,送仙典仪,zh-CN
Rtawahist,明论派 / 梨多梵谛学院,zh-CN
Sabzeruz Festival,花神诞日 / 花神诞祭,zh-CN
Sakoku Decree,锁国令,zh-CN
Satyavada Life,林居狂语期,zh-CN
Sign of Apaosha,焚真之天象,zh-CN
Sinthe,乐斯,zh-CN
Spantamad,素论派 / 悉般多摩学院,zh-CN
Spirit Borneol,灵酚香,zh-CN
Sunchildren,太阳之子,zh-CN
Sunset Vermillionite,鸣霞浮生石,zh-CN
Tales of Humanity,人间百态,zh-CN
The Crux Clash,南十字武斗会,zh-CN
The Divine Damsel of Devastation,神女劈观,zh-CN
