source,target,tgt_lng
阿拜多斯,アビドス,ja-JP
Abydos,アビドス,ja-JP
아비도스,アビドス,ja-JP
อะบิดอส,アビドス,ja-JP
阿里乌斯,アリウス,ja-JP
奧利斯,アリウス,ja-JP
Arius,アリウス,ja-JP
아리우스,アリウス,ja-JP
อาเรียส,アリウス,ja-JP
歌赫娜,ゲヘナ,ja-JP
格黑娜,ゲヘナ,ja-JP
Gehenna,ゲヘナ,ja-JP
게헨나,ゲヘナ,ja-JP
เกเฮนน่า,ゲヘナ,ja-JP
Hyakkiyako,百鬼夜行,ja-JP
백귀야행,百鬼夜行,ja-JP
เฮียกคิยาโค,百鬼夜行,ja-JP
千禧年,ミレニアム,ja-JP
千年,ミレニアム,ja-JP
Millennium,ミレニアム,ja-JP
밀레니엄,ミレニアム,ja-JP
มิลเลเนียม,ミレニアム,ja-JP
红冬,レッドウィンター,ja-JP
赤冬,レッドウィンター,ja-JP
Red Winter,レッドウィンター,ja-JP
붉은겨울,レッドウィンター,ja-JP
เรดวินเทอร์,レッドウィンター,ja-JP
山海经,山海経,ja-JP
山海經,山海経,ja-JP
Shanhaijing,山海経,ja-JP
산해경,山海経,ja-JP
ซานไห่จิง,山海経,ja-JP
崔尼蒂,トリニティ,ja-JP
三一,トリニティ,ja-JP
Trinity,トリニティ,ja-JP
트리니티,トリニティ,ja-JP
ทรีนิตี้,トリニティ,ja-JP
瓦尔基丽,ヴァルキューレ,ja-JP
女武神,ヴァルキューレ,ja-JP
Valkyrie,ヴァルキューレ,ja-JP
발키리,ヴァルキューレ,ja-JP
วัลคิรี่,ヴァルキューレ,ja-JP
其他,その他,ja-JP
Etc.,その他,ja-JP
그 외,その他,ja-JP
อื่นๆ,その他,ja-JP
常盤台中學,常盤台中学,ja-JP
Tokiwadai,常盤台中学,ja-JP
토키와다이 중학교,常盤台中学,ja-JP
โทคิวะได,常盤台中学,ja-JP
柵川中學,柵川中学,ja-JP
Sakugawa,柵川中学,ja-JP
사쿠가와 중학교,柵川中学,ja-JP
ซากุงาวะ,柵川中学,ja-JP
Other,その他,ja-JP
阿拜多斯,アビドス高等学校,ja-JP
阿拜多斯高中,アビドス高等学校,ja-JP
Abydos High School,アビドス高等学校,ja-JP
아비도스 고등학교,アビドス高等学校,ja-JP
โรงเรียนมัธยมอะบิดอส,アビドス高等学校,ja-JP
阿里乌斯,アリウス分校,ja-JP
奧利斯分校,アリウス分校,ja-JP
Arius Satellite School,アリウス分校,ja-JP
아리우스 분교,アリウス分校,ja-JP
โรงเรียนสาขาอาเรียส,アリウス分校,ja-JP
歌赫娜,ゲヘナ学園,ja-JP
格黑娜學園,ゲヘナ学園,ja-JP
Gehenna Academy,ゲヘナ学園,ja-JP
게헨나 학원,ゲヘナ学園,ja-JP
สถาบันเกเฮนน่า,ゲヘナ学園,ja-JP
百鬼夜行,百鬼夜行連合学院,ja-JP
百鬼夜行聯合學園,百鬼夜行連合学院,ja-JP
Allied Hyakkiyako Academy,百鬼夜行連合学院,ja-JP
백귀야행 연합학원,百鬼夜行連合学院,ja-JP
สหพันธ์เฮียกคิยาโค,百鬼夜行連合学院,ja-JP
千禧年,ミレニアムサイエンススクール,ja-JP
千年科學學園,ミレニアムサイエンススクール,ja-JP
Millennium Science School,ミレニアムサイエンススクール,ja-JP
밀레니엄 사이언스 스쿨,ミレニアムサイエンススクール,ja-JP
โรงเรียนวิทย์มิลเลเนียม,ミレニアムサイエンススクール,ja-JP
红冬,レッドウィンター連邦学園,ja-JP
赤冬聯邦學園,レッドウィンター連邦学園,ja-JP
Red Winter Federal Academy,レッドウィンター連邦学園,ja-JP
붉은겨울 연방학원,レッドウィンター連邦学園,ja-JP
สถาบันสหพันธ์เรดวินเทอร์,レッドウィンター連邦学園,ja-JP
山海经,山海経高級中学校,ja-JP
山海經高級中學,山海経高級中学校,ja-JP
Shanhaijing Academy,山海経高級中学校,ja-JP
산해경 고급중학교,山海経高級中学校,ja-JP
โรงเรียนมัธยมซานไห่จิง,山海経高級中学校,ja-JP
SRT,SRT特殊学園,ja-JP
SRT特殊學園,SRT特殊学園,ja-JP
SRT Academy,SRT特殊学園,ja-JP
SRT 특수학원,SRT特殊学園,ja-JP
สถาบันพิเศษ SRT,SRT特殊学園,ja-JP
崔尼蒂,トリニティ総合学園,ja-JP
三一綜合學園,トリニティ総合学園,ja-JP
Trinity General School,トリニティ総合学園,ja-JP
트리니티 종합학원,トリニティ総合学園,ja-JP
โรงเรียนสามัญทรีนิตี้,トリニティ総合学園,ja-JP
瓦尔基丽,ヴァルキューレ警察学校,ja-JP
女武神警察學園,ヴァルキューレ警察学校,ja-JP
Valkyrie Police School,ヴァルキューレ警察学校,ja-JP
발키리 경찰학교,ヴァルキューレ警察学校,ja-JP
สถาบันฝึกตำรวจวัลคิรี่,ヴァルキューレ警察学校,ja-JP
Tokiwadai Middle School,常盤台中学,ja-JP
โรงเรียนมัธยมต้นโทคิวะได,常盤台中学,ja-JP
Sakugawa Middle School,柵川中学,ja-JP
โรงเรียนมัธยมต้นซากุงาวะ,柵川中学,ja-JP
