source,target,tgt_lng
(Level %s/%s),(Mức %s/%s),vi-VN
(Livello %s/%s),(Mức %s/%s),vi-VN
(Niveau %s/%s),(Mức %s/%s),vi-VN
(Nivel %s/%s),(Mức %s/%s),vi-VN
(Nível %s/%s),(Mức %s/%s),vi-VN
(Seviye %s/%s),(Mức %s/%s),vi-VN
(Stufe %s/%s),(Mức %s/%s),vi-VN
(Уровень: %s/%s),(Mức %s/%s),vi-VN
(ระดับ %s/%s),(Mức %s/%s),vi-VN
(레벨 %s/%s),(Mức %s/%s),vi-VN
Alacalı Orman Kamp Haritası,Bản đồ trại rừng lốm đốm,vi-VN
Alacalı Orman Terkedilmiş Kamp Haritası,Bản đồ trại bỏ hoang rừng lốm đốm,vi-VN
Bamboo Camp Map,Bản đồ trại rừng tre,vi-VN
Bamboo Jungle Abandoned Camp Map,Bản đồ trại bỏ hoang rừng tre,vi-VN
Bambu Kamp Haritası,Bản đồ trại rừng tre,vi-VN
Bambu Ormanı Terkedilmiş Kamp Haritası,Bản đồ trại bỏ hoang rừng tre,vi-VN
Bambus-Lagerkarte,Bản đồ trại rừng tre,vi-VN
Bataklık Kamp Haritası,Bản đồ trại đầm lầy,vi-VN
Bataklık Kâşif Haritası,Bản đồ khám phá đầm lầy,vi-VN
Bataklık Terkedilmiş Kamp Haritası,Bản đồ trại bỏ hoang đầm lầy,vi-VN
Bilinmeyen Harita,Bản đồ không rõ,vi-VN
Birch Forest Abandoned Camp Map,Bản đồ trại bỏ hoang rừng bạch dương,vi-VN
Birch Forest Camp Map,Bản đồ trại rừng bạch dương,vi-VN
Birkenwald-Lagerkarte,Bản đồ trại rừng bạch dương,vi-VN
Blasser-Garten-Lagerkarte,Bản đồ trại khu vườn nhợt nhạt,vi-VN
Bloccata,Đã khoá,vi-VN
Bloqueado,Đã khoá,vi-VN
Blumenwald-Lagerkarte,Bản đồ trại rừng hoa,vi-VN
Buntwaldlagerkarte,Bản đồ trại rừng lốm đốm,vi-VN
Buried Treasure Map,Bản đồ kho báu bị chôn vùi,vi-VN
Carte au trésor,Bản đồ kho báu bị chôn vùi,vi-VN
Carte d'exploration des bois,Bản đồ khám phá rừng sâu,vi-VN
Carte d'exploration des jungles,Bản đồ khám phá rừng nhiệt đới,vi-VN
Carte d'exploration des marais,Bản đồ khám phá đầm lầy,vi-VN
Carte d'exploration des océans,Bản đồ khám phá đại dương,vi-VN
Carte de camp de bosquet de cerisiers,Bản đồ trại bỏ hoang rừng núi anh đào,vi-VN
Carte de camp de bosquet de cerisiers,Bản đồ trại rừng núi anh đào,vi-VN
Carte de camp de forêt ambrée,Bản đồ trại bỏ hoang rừng lốm đốm,vi-VN
Carte de camp de forêt ambrée,Bản đồ trại rừng lốm đốm,vi-VN
Carte de camp de forêt de bouleaux,Bản đồ trại bỏ hoang rừng bạch dương,vi-VN
Carte de camp de forêt de bouleaux,Bản đồ trại rừng bạch dương,vi-VN
Carte de camp de forêt fleurie,Bản đồ trại bỏ hoang rừng hoa,vi-VN
Carte de camp de forêt fleurie,Bản đồ trại rừng hoa,vi-VN
Carte de camp de forêt venteuse,Bản đồ trại bỏ hoang rừng lộng gió,vi-VN
Carte de camp de forêt venteuse,Bản đồ trại rừng lộng gió,vi-VN
Carte de camp de jardin pâle,Bản đồ trại bỏ hoang khu vườn nhợt nhạt,vi-VN
Carte de camp de jardin pâle,Bản đồ trại khu vườn nhợt nhạt,vi-VN
Carte de camp de jungle de bambous,Bản đồ trại bỏ hoang rừng tre,vi-VN
Carte de camp de jungle de bambous,Bản đồ trại rừng tre,vi-VN
Carte de camp de marais,Bản đồ trại bỏ hoang đầm lầy,vi-VN
Carte de camp de marais,Bản đồ trại đầm lầy,vi-VN
Carte de chambres des épreuves,Bản đồ khám phá thử thách,vi-VN
Carte de temple de la jungle,Bản đồ đền thờ rừng nhiệt đới,vi-VN
Carte de village de la savane,Bản đồ làng Xavan,vi-VN
Carte de village de la taïga,Bản đồ làng rừng Taiga,vi-VN
Carte de village des neiges,Bản đồ làng băng tuyết,vi-VN
Carte de village des plaines,Bản đồ làng đồng bằng,vi-VN
Carte de village du désert,Bản đồ làng sa mạc,vi-VN
Carte inconnue,Bản đồ không rõ,vi-VN
Cherry Grove Abandoned Camp Map,Bản đồ trại bỏ hoang rừng núi anh đào,vi-VN
Cherry Grove Camp Map,Bản đồ trại rừng núi anh đào,vi-VN
Dappled Forest Abandoned Camp Map,Bản đồ trại bỏ hoang rừng lốm đốm,vi-VN
Dappled Forest Camp Map,Bản đồ trại rừng lốm đốm,vi-VN
Definitivo,Đã khoá,vi-VN
Desert Village Map,Bản đồ làng sa mạc,vi-VN
Dschungel-Entdeckerkarte,Bản đồ khám phá rừng nhiệt đới,vi-VN
Dschungeltempelkarte,Bản đồ đền thờ rừng nhiệt đới,vi-VN
Ebenendorfkarte,Bản đồ làng đồng bằng,vi-VN
Escala 1:%s,Quy mô 1:%s,vi-VN
Escala a 1:%s,Quy mô 1:%s,vi-VN
Esintili Orman Kamp Haritası,Bản đồ trại rừng lộng gió,vi-VN
Esintili Orman Terkedilmiş Kamp Haritası,Bản đồ trại bỏ hoang rừng lộng gió,vi-VN
Flower Forest Abandoned Camp Map,Bản đồ trại bỏ hoang rừng hoa,vi-VN
Flower Forest Camp Map,Bản đồ trại rừng hoa,vi-VN
Gesperrt,Đã khoá,vi-VN
Gömülü Hazine Haritası,Bản đồ kho báu bị chôn vùi,vi-VN
Huş Ormanı Kamp Haritası,Bản đồ trại rừng bạch dương,vi-VN
Huş Ormanı Terkedilmiş Kamp Haritası,Bản đồ trại bỏ hoang rừng bạch dương,vi-VN
ID n.º %s,ID #%s,vi-VN
Id. n.º %s,ID #%s,vi-VN
ID: %s,ID #%s,vi-VN
Jungle Explorer Map,Bản đồ khám phá rừng nhiệt đới,vi-VN
