id,term,src_table
BattleScene.10101.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.10101.address2,일반 거리 - 황혼,Battle/BattleScene.txt
BattleScene.10301.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.10301.address2,Funny 게임 센터 - 홀,Battle/BattleScene.txt
BattleScene.10601.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.10601.address2,베이커 가 - 비,Battle/BattleScene.txt
BattleScene.10701.address1,사우스포트,Battle/BattleScene.txt
BattleScene.10701.address2,인형 공장,Battle/BattleScene.txt
BattleScene.10801.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.10801.address2,시부야,Battle/BattleScene.txt
BattleScene.10901.address1,기능,Battle/BattleScene.txt
BattleScene.10901.address2,대나무 숲 던전,Battle/BattleScene.txt
BattleScene.10902.address1,기능,Battle/BattleScene.txt
BattleScene.10902.address2,대나무 숲 던전,Battle/BattleScene.txt
BattleScene.11001.address1,대나무 숲 이벤트,Battle/BattleScene.txt
BattleScene.11001.address2,대나무 숲 던전,Battle/BattleScene.txt
BattleScene.11101.address1,사우스포트,Battle/BattleScene.txt
BattleScene.11101.address2,빨간 망토 씬,Battle/BattleScene.txt
BattleScene.11201.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.11201.address2,신시가지 - 밤,Battle/BattleScene.txt
BattleScene.11401.address1,노스 타운,Battle/BattleScene.txt
BattleScene.11401.address2,축구 씬,Battle/BattleScene.txt
BattleScene.11501.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.11501.address2,상가,Battle/BattleScene.txt
BattleScene.11599.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.11599.address2,상가,Battle/BattleScene.txt
BattleScene.11901.address1,기능,Battle/BattleScene.txt
BattleScene.11901.address2,일반 던전 - 블루,Battle/BattleScene.txt
BattleScene.12001.address1,기능,Battle/BattleScene.txt
BattleScene.12001.address2,일반 던전 - 블루,Battle/BattleScene.txt
BattleScene.12002.address1,기능,Battle/BattleScene.txt
BattleScene.12002.address2,일반 던전 - 그린,Battle/BattleScene.txt
BattleScene.12003.address1,기능,Battle/BattleScene.txt
BattleScene.12003.address2,일반 던전 - 퍼플,Battle/BattleScene.txt
BattleScene.12004.address1,기능,Battle/BattleScene.txt
BattleScene.12004.address2,일반 던전 - 레드,Battle/BattleScene.txt
BattleScene.12005.address1,기능,Battle/BattleScene.txt
BattleScene.12005.address2,일반 던전 - 옐로우,Battle/BattleScene.txt
BattleScene.12101.address1,사우스포트,Battle/BattleScene.txt
BattleScene.12101.address2,엘리의 집 앞 - 밤,Battle/BattleScene.txt
BattleScene.12201.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.12201.address2,베이커 가 - 비,Battle/BattleScene.txt
BattleScene.12301.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.12301.address2,이모션 컨트롤 센터 홀,Battle/BattleScene.txt
BattleScene.12401.address1,퀸즈 타운,Battle/BattleScene.txt
BattleScene.12401.address2,이모션 컨트롤 센터 홀,Battle/BattleScene.txt
BattleScene.12601.address1,리즈 시,Battle/BattleScene.txt
BattleScene.12601.address2,구시가지 거리 - 낮,Battle/BattleScene.txt
BattleScene.12901.address1,리즈 시,Battle/BattleScene.txt
BattleScene.12901.address2,교외 유적,Battle/BattleScene.txt
BattleScene.13001.address1,캐스터웨이 섬,Battle/BattleScene.txt
BattleScene.13001.address2,캐스터웨이 섬 거리 - 낮,Battle/BattleScene.txt
BattleScene.13101.address1,캐스터웨이 섬,Battle/BattleScene.txt
BattleScene.13101.address2,캐스터웨이 섬 거리 - 밤,Battle/BattleScene.txt
BattleScene.13201.address1,캐스터웨이 섬,Battle/BattleScene.txt
BattleScene.13201.address2,파괴된 거리,Battle/BattleScene.txt
BattleScene.13299.address1,캐스터웨이 섬,Battle/BattleScene.txt
BattleScene.13299.address2,파괴된 거리,Battle/BattleScene.txt
BattleScene.13301.address1,캐스터웨이 섬,Battle/BattleScene.txt
BattleScene.13301.address2,경매장,Battle/BattleScene.txt
