source,target,tgt_lng
"""Almighty Forum Lord of Thunder Spell""",「천지 혼원 뇌부 도배 요정 천존」,ko-KR
"""Avatar de niebla"" hereda {0} más PS de Aalto. Cuando Aalto ataca a objetivos provocados por el ""Avatar de niebla"", su ATQ se incrementa en {1}.","「안개 분신」이 계승한 HP {0} 증가, 알토가 분신에 의해 도발당한 목표를 공격할 경우 공격력이 {1} 증가한다",ko-KR
"""Invocação do Celestial Supremo do Trovão""",「천지 혼원 뇌부 도배 요정 천존」,ko-KR
"""Manipulación de llamas"" aumenta la Prob. CRIT de Changli en un {0} durante {1} s.","「이화」 획득 시, 장리의 크리티컬이 {0} 증가하며, {1}초간 지속된다",ko-KR
"""Mist Avatar"" inherits {0} more HP from Aalto. When Aalto attacks targets taunted by the ""Mist Avatar(s)"", his ATK is increased by {1}.","「안개 분신」이 계승한 HP {0} 증가, 알토가 분신에 의해 도발당한 목표를 공격할 경우 공격력이 {1} 증가한다",ko-KR
"""เทวะอสนี วารีเก้าสวรรค์""",「천지 혼원 뇌부 도배 요정 천존」,ko-KR
"- Coroa de Vontades fornece efeitos adicionais: Cada acúmulo aumenta a Taxa CRIT de Augusta em {0}.
- Para cada {2} de Taxa CRIT acima de {1}, aumenta {3} de Dano CRIT de Augusta, até {4}.","· 「만민의 염원, 영광의 왕관」은 다음과 같은 추가 효과를 획득한다.
각 스택마다 크리티컬을 {0} 증가시킨다.
· 아우구스타의 크리티컬이 {1}를 초과할 경우, 초과한 크리티컬 {2} 당, 아우구스타의 크리티컬 피해를 {3} 증가시키고, 최대 {4}까지 증가시킬 수 있다",ko-KR
"- Crown of Wills provides additional effects: Each stack increases Augusta's Crit. Rate by {0}.
- For every {2} of Crit. Rate over {1}, Augusta gains {3} Crit. DMG increase, up to {4}.","· 「만민의 염원, 영광의 왕관」은 다음과 같은 추가 효과를 획득한다.
각 스택마다 크리티컬을 {0} 증가시킨다.
· 아우구스타의 크리티컬이 {1}를 초과할 경우, 초과한 크리티컬 {2} 당, 아우구스타의 크리티컬 피해를 {3} 증가시키고, 최대 {4}까지 증가시킬 수 있다",ko-KR
"- Krone des Willens bietet einen zusätzlichen Effekt: Jeder Stapel erhöht Augustas Krit. Rate zusätzlich um {0}.
- Pro {2} Krit. Rate über {1} gewährt einen Krit. SCH-Bonus um {3}, maximal bis zu {4}.","· 「만민의 염원, 영광의 왕관」은 다음과 같은 추가 효과를 획득한다.
각 스택마다 크리티컬을 {0} 증가시킨다.
· 아우구스타의 크리티컬이 {1}를 초과할 경우, 초과한 크리티컬 {2} 당, 아우구스타의 크리티컬 피해를 {3} 증가시키고, 최대 {4}까지 증가시킬 수 있다",ko-KR
"- L'effet de bonus de « Couronne des volontés » est amélioré : Chaque point augmente le Taux critique de {0}.
- Si le Taux critique d'Augusta dépasse {1}, {2} de Taux critique dépassé augmente {3} de Dégâts critiques d'Augusta, jusqu'à {4}.","· 「만민의 염원, 영광의 왕관」은 다음과 같은 추가 효과를 획득한다.
각 스택마다 크리티컬을 {0} 증가시킨다.
· 아우구스타의 크리티컬이 {1}를 초과할 경우, 초과한 크리티컬 {2} 당, 아우구스타의 크리티컬 피해를 {3} 증가시키고, 최대 {4}까지 증가시킬 수 있다",ko-KR
