source,target,tgt_lng
Abgrundbote – Reißender Strom,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Abgrundsänger – Abgrundflammen,Hiçlik Vaizi: Derin Alevler,tr-TR
Abgrundsänger – Lila Blitze,Hiçlik Vaizi: Mor Şimşek,tr-TR
Ablutionneuse des Érémites,Münzevi Berrak Su,tr-TR
Abyss Herald - Wicked Torrents,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Abyss Herald: Wicked Torrents,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Abyss Lector - Fathomless Flames,Hiçlik Vaizi: Derin Alevler,tr-TR
Abyss Lector - Violet Lightning,Hiçlik Vaizi: Mor Şimşek,tr-TR
Abyss Lector: Fathomless Flames,Hiçlik Vaizi: Derin Alevler,tr-TR
Abyss Lector: Violet Lightning,Hiçlik Vaizi: Mor Şimşek,tr-TR
Agente dei Fatui di Pyro,Fatui Ateş Tetikçisi,tr-TR
All-Devouring Narwhal,Yıldız Yutan Narval,tr-TR
Anemo Samachurl,Rüzgar Dağ Şamanı,tr-TR
Anemo-Samachurl,Rüzgar Dağ Şamanı,tr-TR
Annihilation Specialist Mek,Kıyım Uzmanı Meka,tr-TR
Annihilation Specialist Mek - Ousia,Kıyım Uzmanı Meka - Öz,tr-TR
Annihilation Specialist Mek - Pneuma,Kıyım Uzmanı Meka - Ruh,tr-TR
Apostolo dell'Abisso: Torrenti maligni,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Apóstolo do Abismo - Corrente Torrencial,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Apôtre de l'Abîme - Torrent,Hiçliğin Habercisi: Habis Dalgalar,tr-TR
Arbalétrier Brutocollinus,Nişancı Dağ Yabanisi,tr-TR
Arbalétrier Brutocollinus Cryo,Nişancı Buz Dağ Yabanisi,tr-TR
Arbalétrier Brutocollinus Électro,Nişancı Elektrik Dağ Yabanisi,tr-TR
Arithmetic Enhancer Mek,Hesap Geliştirici Meka,tr-TR
