source,target,tgt_lng
Akış Zırh Süslemesi,Flow Armor Trim,en-US
Aufzieher-Rüstungsbesatz,Raiser Armor Trim,en-US
Augen-Rüstungsbesatz,Eye Armor Trim,en-US
Bolzen-Rüstungsbesatz,Bolt Armor Trim,en-US
Diseño de armadura costera,Coast Armor Trim,en-US
Diseño de armadura de agujas,Spire Armor Trim,en-US
Diseño de armadura de anfitrión,Host Armor Trim,en-US
Diseño de armadura de buscacaminos,Wayfinder Armor Trim,en-US
Diseño de armadura de centinela,Sentry Armor Trim,en-US
Diseño de armadura de costillas,Rib Armor Trim,en-US
Diseño de armadura de elevación,Raiser Armor Trim,en-US
Diseño de armadura de espiral,Flow Armor Trim,en-US
Diseño de armadura de hocico,Snout Armor Trim,en-US
Diseño de armadura de la marea,Tide Armor Trim,en-US
Diseño de armadura de las dunas,Dune Armor Trim,en-US
Diseño de armadura de modelador,Shaper Armor Trim,en-US
Diseño de armadura de ojos,Eye Armor Trim,en-US
Diseño de armadura de remaches,Bolt Armor Trim,en-US
Diseño de armadura de silencio,Silence Armor Trim,en-US
Diseño de armadura de vex,Vex Armor Trim,en-US
Diseño de armadura de warden,Ward Armor Trim,en-US
Diseño de armadura salvaje,Wild Armor Trim,en-US
Domuz Burnu Zırh Süslemesi,Snout Armor Trim,en-US
Dünen-Rüstungsbesatz,Dune Armor Trim,en-US
Enfeite da Selva,Wild Armor Trim,en-US
Enfeite das Profundezas,Ward Armor Trim,en-US
Enfeite de Costelas,Rib Armor Trim,en-US
Enfeite de Dunas,Dune Armor Trim,en-US
Enfeite de Espiral,Spire Armor Trim,en-US
Enfeite de Fluxo,Flow Armor Trim,en-US
Enfeite de Focinho,Snout Armor Trim,en-US
Enfeite de Hospedeiro,Host Armor Trim,en-US
Enfeite de Levante,Raiser Armor Trim,en-US
Enfeite de Maré,Tide Armor Trim,en-US
Enfeite de Moldador,Shaper Armor Trim,en-US
Enfeite de Navegador,Wayfinder Armor Trim,en-US
Enfeite de Obsessor,Vex Armor Trim,en-US
Enfeite de Olho,Eye Armor Trim,en-US
Enfeite de Parafuso,Bolt Armor Trim,en-US
Enfeite de Sentinela,Sentry Armor Trim,en-US
Enfeite de Silêncio,Silence Armor Trim,en-US
Enfeite do Litoral,Coast Armor Trim,en-US
Ev Sahibi Zırh Süslemesi,Host Armor Trim,en-US
Fluss-Rüstungsbesatz,Flow Armor Trim,en-US
Gastwirts-Rüstungsbesatz,Host Armor Trim,en-US
Gelgit Zırh Süslemesi,Tide Armor Trim,en-US
Gestalter-Rüstungsbesatz,Shaper Armor Trim,en-US
Gezeiten-Rüstungsbesatz,Tide Armor Trim,en-US
Göz Zırh Süslemesi,Eye Armor Trim,en-US
Kaburga Zırh Süslemesi,Rib Armor Trim,en-US
Koğuş Zırh Süslemesi,Ward Armor Trim,en-US
Kumul Zırh Süslemesi,Dune Armor Trim,en-US
Küsten-Rüstungsbesatz,Coast Armor Trim,en-US
Kıyı Zırh Süslemesi,Coast Armor Trim,en-US
Nöbetçi Zırh Süslemesi,Sentry Armor Trim,en-US
Ornamento stile allevatore,Raiser Armor Trim,en-US
Ornamento stile bullone,Bolt Armor Trim,en-US
Ornamento stile costiero,Coast Armor Trim,en-US
Ornamento stile costole,Rib Armor Trim,en-US
Ornamento stile duna,Dune Armor Trim,en-US
Ornamento stile flusso,Flow Armor Trim,en-US
Ornamento stile grugno,Snout Armor Trim,en-US
Ornamento stile guglie,Spire Armor Trim,en-US
Ornamento stile marea,Tide Armor Trim,en-US
Ornamento stile modellatore,Shaper Armor Trim,en-US
Ornamento stile occhio,Eye Armor Trim,en-US
Ornamento stile oste,Host Armor Trim,en-US
Ornamento stile ricognitore,Wayfinder Armor Trim,en-US
Ornamento stile selvaggio,Wild Armor Trim,en-US
Ornamento stile sentinella,Sentry Armor Trim,en-US
Ornamento stile silenzio,Silence Armor Trim,en-US
Ornamento stile sorvegliante,Ward Armor Trim,en-US
Ornamento stile vessante,Vex Armor Trim,en-US
Ornement de l'oeil,Eye Armor Trim,en-US
Ornement des abîmes,Ward Armor Trim,en-US
Ornement des boulons,Bolt Armor Trim,en-US
Ornement des côtes,Rib Armor Trim,en-US
Ornement des dunes,Dune Armor Trim,en-US
Ornement des groins,Snout Armor Trim,en-US
Ornement des hôtes,Host Armor Trim,en-US
Ornement des jungles,Wild Armor Trim,en-US
Ornement des littoraux,Coast Armor Trim,en-US
Ornement des marées,Tide Armor Trim,en-US
Ornement des modeleurs,Shaper Armor Trim,en-US
Ornement des sentinelles,Sentry Armor Trim,en-US
Ornement des tourbillons,Flow Armor Trim,en-US
Ornement des tours,Spire Armor Trim,en-US
Ornement des Vex,Vex Armor Trim,en-US
Ornement des éclaireurs,Wayfinder Armor Trim,en-US
Ornement des éleveurs,Raiser Armor Trim,en-US
Ornement du silence,Silence Armor Trim,en-US
Plagegeister-Rüstungsbesatz,Vex Armor Trim,en-US
Rippen-Rüstungsbesatz,Rib Armor Trim,en-US
Sarmal Zırh Süslemesi,Spire Armor Trim,en-US
Schnauzen-Rüstungsbesatz,Snout Armor Trim,en-US
Sessizlik Zırh Süslemesi,Silence Armor Trim,en-US
Sinirbozan Zırh Süslemesi,Vex Armor Trim,en-US
Stille-Rüstungsbesatz,Silence Armor Trim,en-US
Trang trí giáp kiểu bu lông,Bolt Armor Trim,en-US
Trang trí giáp kiểu bờ biển,Coast Armor Trim,en-US
Trang trí giáp kiểu con mắt,Eye Armor Trim,en-US
Trang trí giáp kiểu hoang dã,Wild Armor Trim,en-US
Trang trí giáp kiểu hồn ma bay,Vex Armor Trim,en-US
Trang trí giáp kiểu im lặng,Silence Armor Trim,en-US
Trang trí giáp kiểu làn gió,Flow Armor Trim,en-US
Trang trí giáp kiểu lính gác,Sentry Armor Trim,en-US
Trang trí giáp kiểu lộ thiên,Ward Armor Trim,en-US
Trang trí giáp kiểu mũi heo,Snout Armor Trim,en-US
Trang trí giáp kiểu người chăn nuôi,Raiser Armor Trim,en-US
Trang trí giáp kiểu người chủ,Host Armor Trim,en-US
Trang trí giáp kiểu người dò đường,Wayfinder Armor Trim,en-US
Trang trí giáp kiểu thuỷ triều,Tide Armor Trim,en-US
Trang trí giáp kiểu thợ nặn,Shaper Armor Trim,en-US
Trang trí giáp kiểu xoắn ốc,Spire Armor Trim,en-US
Trang trí giáp kiểu xương gọng,Rib Armor Trim,en-US
Trang trí giáp kiểu đụn cát,Dune Armor Trim,en-US
Turmspitzen-Rüstungsbesatz,Spire Armor Trim,en-US
Wachen-Rüstungsbesatz,Sentry Armor Trim,en-US
Warthof-Rüstungsbesatz,Ward Armor Trim,en-US
Wegfinder-Rüstungsbesatz,Wayfinder Armor Trim,en-US
Wildnis-Rüstungsbesatz,Wild Armor Trim,en-US
Yabani Zırh Süslemesi,Wild Armor Trim,en-US
Yol Bulucu Zırh Süslemesi,Wayfinder Armor Trim,en-US
Yükseltici Zırh Süslemesi,Raiser Armor Trim,en-US
