source,target,tgt_lng
amarela,สีเหลือง,th-TH
Amarillo,สีเหลือง,th-TH
Arancione,สีส้ม,th-TH
Azul,สีน้ำเงิน,th-TH
azul,สีน้ำเงิน,th-TH
Azul claro,สีฟ้า,th-TH
azul-clara,สีฟ้า,th-TH
Azzurro,สีฟ้า,th-TH
Açık Gri,สีเทาอ่อน,th-TH
Açık Mavi,สีฟ้า,th-TH
Açık Yeşil,สีเขียวอ่อน,th-TH
Beyaz,สีขาว,th-TH
Bianco,สีขาว,th-TH
Black,สีดำ,th-TH
Blanc,สีขาว,th-TH
Blanco,สีขาว,th-TH
Blau,สีน้ำเงิน,th-TH
Bleu,สีน้ำเงิน,th-TH
Bleu clair,สีฟ้า,th-TH
Blu,สีน้ำเงิน,th-TH
Blue,สีน้ำเงิน,th-TH
branca,สีขาว,th-TH
Braun,สีน้ำตาล,th-TH
Brown,สีน้ำตาล,th-TH
Camgöbeği,สีฟ้าคราม,th-TH
Cian,สีฟ้าคราม,th-TH
Ciano,สีฟ้าคราม,th-TH
ciano,สีฟ้าคราม,th-TH
cinza,สีเทา,th-TH
cinza-clara,สีเทาอ่อน,th-TH
Cyan,สีฟ้าคราม,th-TH
Eflatun,สีบานเย็น,th-TH
Gelb,สีเหลือง,th-TH
Giallo,สีเหลือง,th-TH
Grau,สีเทา,th-TH
Gray,สีเทา,th-TH
Green,สีเขียว,th-TH
Gri,สีเทา,th-TH
Grigio,สีเทา,th-TH
Grigio chiaro,สีเทาอ่อน,th-TH
Gris,สีเทา,th-TH
Gris clair,สีเทาอ่อน,th-TH
Gris claro,สีเทาอ่อน,th-TH
Grün,สีเขียว,th-TH
Hellblau,สีฟ้า,th-TH
Hellgrau,สีเทาอ่อน,th-TH
Hellgrün,สีเขียวอ่อน,th-TH
Jaune,สีเหลือง,th-TH
Kahverengi,สีน้ำตาล,th-TH
Kırmızı,สีแดง,th-TH
laranja,สีส้ม,th-TH
Light Blue,สีฟ้า,th-TH
Light Gray,สีเทาอ่อน,th-TH
Lime,สีเขียวอ่อน,th-TH
Magenta,สีบานเย็น,th-TH
magenta,สีบานเย็น,th-TH
marrom,สีน้ำตาล,th-TH
Marron,สีน้ำตาล,th-TH
Marrone,สีน้ำตาล,th-TH
Marrón,สีน้ำตาล,th-TH
Mavi,สีน้ำเงิน,th-TH
Mor,สีม่วง,th-TH
