source,target,tgt_lng
"""""Hah! Loucura Muscular Poderosa!",¡Oh! ¡Una locura de músculos!,es-ES
"""A Brisa da Sonúmia""",La brisa de Somnolencia,es-ES
"""A Vigia Eterna""",La vigilancia eterna,es-ES
"""A chama nunca se apaga. Ela perdura porque as pessoas se entregam a ela.""",La llama nunca se apaga. Perdura porque la gente se alimenta de ella.,es-ES
"""All-Seeing Eye""",Ojo que todo lo ve,es-ES
"""Ampola""",Ampolla,es-ES
"""Ampoule""",Ampolla,es-ES
"""Ampulheta Pequena""",Reloj de arena pequeño,es-ES
"""Anel-sinete""",Anillo de sello,es-ES
"""Angel Statue""",Estatua de ángel,es-ES
"""Aqui é um lugar de oração. A violência é estritamente proibida nestas terras.""",Este es un lugar de oración. La violencia está estrictamente prohibida.,es-ES
"""As Almas Além do Buraco Negro""",Las almas más allá del agujero negro,es-ES
"""As long as I don't have it on me, my editor will never find me...""","«Mientras no lo tenga encima, mi editor jamás me encontrará... No me encontrarán... No me...».",es-ES
"""As long as someone is profiting from these attacks, we can't rule out the possibility.""","Mientras alguien esté ganando dinero con estos ataques, no podemos descartar la posibilidad.",es-ES
"""Bagas Secas""",Bayas secas,es-ES
"""Balmy Resin""",Resina aromática,es-ES
"""Banner of Balance""",Estandarte del equilibrio,es-ES
"""Banner of Eye""",Estandarte del ojo,es-ES
"""Batida Perfeita""",Ritmo impecable,es-ES
"""Baú Enferrujado""",Cofre oxidado,es-ES
"""Bebida Comprimida""",Bebida comprimida,es-ES
"""Bebida Gelada""",Bebida fría,es-ES
"""Bebida Verde-escura""",Bebida verde oscuro,es-ES
"""Being human is hard enough, but being a happy human? Even harder...""",Los seres humanos son muy complicados y ser uno ya es demasiado difícil.,es-ES
"""Berço da Eternidade""",Cuna de eternidad,es-ES
"""Bicicleta Movida a Pernas""",«Pierna-propulsada»,es-ES
"""Bilhete de Entrada""",Boleto de entrada,es-ES
"""Bilhete-presente""",Boleto de regalo,es-ES
"""Biruta de Peixe""",Manga de viento con forma de pez,es-ES
"""Biscoito Esmagado""",Galleta molida,es-ES
"""Biscuit Stick""",Palito de galleta,es-ES
"""Bitter Juice""",Jugo amargo,es-ES
"""Black Tea""",Té negro,es-ES
"""Blue Candy""",Caramelo azul,es-ES
"""Blue Inhalant""",Inhalante azul,es-ES
"""Blue Insect""",Insecto azul,es-ES
"""Blue Mineral""",Mineral azul,es-ES
"""Blue Pendant""",Colgante azul,es-ES
"""Blue Potion""",Poción azul,es-ES
"""Blue Surprise""",Sorpresa azul,es-ES
"""Bobina de Empuxo""",Bobina de propulsión,es-ES
"""Boia de Natação""",Flotador,es-ES
"""Bolo Rosa""",Pastel rosa,es-ES
"""Bone Flute""",Flauta de hueso,es-ES
"""Bottle Water""",Agua embotellada,es-ES
"""Bound Chess""",Pieza de ajedrez unida,es-ES
"""Bright Pendant""",Colgante brillante,es-ES
"""Burglar"" Program Chip",Chip de programa: «Ladrón»,es-ES
"""But are you truly in control of your own fate?""",¿Pero de verdad tienes control sobre tu propio destino?,es-ES
"""Caderno Antigo""",Cuaderno antiguo,es-ES
"""Café""",Café,es-ES
"""Caixa Sinistra""",Caja siniestra,es-ES
"""Cajado do Chama-marés""",Bastón invocamareas,es-ES
"""Camera""",Cámara,es-ES
"""Canned Soda""",Refresco en lata,es-ES
"""Capsule""",Cápsula,es-ES
"""Carambola""",Fruta estelar,es-ES
"""Cartão Vermelho""",Tarjeta roja,es-ES
"""Cascas Secas""",Cáscaras deshidratadas,es-ES
"""Cassette Player""",Reproductor de casetes,es-ES
"""Cat Paw""",Pata de gato,es-ES
"""Cavalo de Pau""",«Freno de mano»,es-ES
"""Caçador do Sol""",«Caza soles»,es-ES
"""Chapéu""",Sombrero,es-ES
"""Chave Escarlate""",Llave carmesí,es-ES
"""Chave de Cobre""",Llave de cobre,es-ES
"""Chifre de Beber""",Cuerno para beber,es-ES
"""Chorale"" can be triggered when not in ""Distortion"" and deals increased DMG when in ""Distortion.""",El Coro puede activarse cuando no estás en Distorsión y aumenta el daño cuando estás en Distorsión.,es-ES
"""Chá Gelado""",Té helado,es-ES
"""Chá Preto""",Té negro,es-ES
"""Ciclo Virtuoso""",«Ciclo virtuoso»,es-ES
"""Clearing Master"" Trophy",Trofeo «Maestro del despeje»,es-ES
"""Coffee""",Café,es-ES
"""Coins please. Give me some coins."" One of them seems to whisper.","Parece que uno de ellos susurra: «Monedas. Dame monedas, por favor».",es-ES
"""Cold Drink""",Bebida fría,es-ES
"""Cometa Branco""",«Cometa blanco»,es-ES
"""Comida Inflada""",Alimento inflado,es-ES
"""Componente Holográfico""",Componente holográfico,es-ES
"""Compressed Beverage""",Bebida comprimida,es-ES
"""Comunicador""",Comunicador,es-ES
"""Concha Vazia""",Caracola vacía,es-ES
"""Conjunto de Escrita""",Kit de escritura,es-ES
"""Conjunto de Porcas""",Juego de tuercas,es-ES
"""Conjunto de Refrigerantes""",Paquete de refrescos,es-ES
"""Copper Key""",Llave de cobre,es-ES
"""Corredor Nº 1 do Dep. de Matéria do Vazio""",«N.º 1 del dpto. de Materia de Vacío»,es-ES
"""Cradle of Eternity""",Cuna de eternidad,es-ES
"""Crimson Key""",Llave carmesí,es-ES
"""Crushed Biscuit""",Galleta molida,es-ES
"""Crushed Nuts""",Frutos secos molidos,es-ES
"""Cyan Canvas""",Lienzo cian,es-ES
"""Cyan Mineral""",Mineral cian,es-ES
"""Cyan Potion""",Poción cian,es-ES
"""Cápsula""",Cápsula,es-ES
"""Câmera""",Cámara,es-ES
"""Dados do Destino""",Dado del destino,es-ES
"""Damson Canvas""",Lienzo damascena,es-ES
"""Dark Green Beverage""",Bebida verde oscuro,es-ES
"""De agora em diante, abstenha-se de usar seus poderes. Estamos entendidos?"", alertou o médico.","«De aquí en adelante, no uses tus poderes. ¿Se entendió?», advirtió el doctor.",es-ES
"""Debts Paid In Full""",Deudas pagadas en su totalidad,es-ES
"""Deep Purple Spray""",Aerosol violeta oscuro,es-ES
"""Detector""",Detector,es-ES
"""Dice of Fate""",Dado del destino,es-ES
"""Diced Fruit""",Fruta picada,es-ES
"""Dim Pendant""",Colgante opaco,es-ES
"""Distintivo de Logística""",Insignia de logística,es-ES
"""Diário Antigo""",Diario antiguo,es-ES
"""Doce Azul""",Caramelo azul,es-ES
"""Doce Roxo""",Caramelo violeta,es-ES
"""Doce Verde""",Caramelo verde,es-ES
"""Domain of Yesterday""",«Dominio de ayer»,es-ES
"""Domínio do Ontem""",«Dominio de ayer»,es-ES
"""Dried Berries""",Bayas secas,es-ES
"""Dried Peels""",Cáscaras deshidratadas,es-ES
"""Drift Bottle""",Botella a la deriva,es-ES
"""Drinking Horn""",Cuerno para beber,es-ES
"""Dusk Spray""",Aerosol del crepúsculo,es-ES
