source,target,tgt_lng
"""%s"" attendu",Bị thiếu '%s',vi-VN
"""%s"" kimliğine sahip şablon yok","Không có mẫu với ID ""%s""",vi-VN
"""%s"" n'est pas un nom de pack valide",Tên gói mới '%s' không hợp lệ,vi-VN
"""%s"" türü özellik yok","Không có đối tượng địa lí nào thuộc loại ""%s""",vi-VN
"""%s"" türü şablon havuzu yok","Không có nhóm mẫu nào thuộc loại ""%s""",vi-VN
"""%s"" 구조물을 %s, %s, %s에 생성했습니다","Đã đặt cấu trúc ""%s"" tại %s, %s, %s",vi-VN
"""%s"" 종류의 구조물이 없습니다","Không có cấu trúc nào thuộc loại ""%s""",vi-VN
"""%s"" 종류의 지물이 없습니다","Không có đối tượng địa lí nào thuộc loại ""%s""",vi-VN
"""%s"" 종류의 템플릿 풀이 없습니다","Không có nhóm mẫu nào thuộc loại ""%s""",vi-VN
"""%s"" 템플릿을 %s, %s, %s에 불러왔습니다","Đã tải mẫu ""%s"" tại %s, %s, %s",vi-VN
"""%s""을(를) %s, %s, %s에 설치했습니다","Đã đặt ""%s"" tại %s, %s, %s",vi-VN
"""%s” %s,%s,%s konumuna yerleştirildi","Đã đặt ""%s"" tại %s, %s, %s",vi-VN
"""%s” türünde bir yapı yok","Không có cấu trúc nào thuộc loại ""%s""",vi-VN
"""%s” yapısı %s, %s, %s konumunda oluşturuldu","Đã đặt cấu trúc ""%s"" tại %s, %s, %s",vi-VN
"""%s” şablonu %s, %s, %s konumuna yüklendi","Đã tải mẫu ""%s"" tại %s, %s, %s",vi-VN
"""Enable"" fonctionne seulement sur des objectifs de type ""trigger""",Chỉ bật được trên mục tiêu kích hoạt,vi-VN
%1$s bloğu %3$s özelliğine '%2$s' kabul etmiyor,Khối %s không chấp nhận '%s' cho thuộc tính %s,vi-VN
"%1$s boyutunda, %2$s konumunda zorla yüklenmiş bir yığın bulundu",Đã tìm thấy đoạn khúc bị buộc phải nạp trong %s tại: %s,vi-VN
%1$s chunk da %3$s a %4$s nella dimensione %2$s non sono più segnalati per il caricamento forzato,Đã bỏ đánh dấu %s đoạn khúc trong %s từ %s đến %s là buộc phải nạp,vi-VN
%1$s fonksiyonunda %2$s değişkeni eksik,Thiếu đối số %2$s cho hàm %1$s,vi-VN
%1$s gelişimi '%2$s' kriterini içermiyor,Tiến trình %1$s không chứa tiêu chuẩn '%2$s',vi-VN
%1$s tarif %2$s oyuncudan alındı,Đã lấy %s công thức khỏi %s người chơi,vi-VN
%1$s tarif %2$s oyuncusundan alındı,Đã lấy %s công thức khỏi %s,vi-VN
%1$s 발전 과제에 '%2$s' 기준이 없습니다,Tiến trình %1$s không chứa tiêu chuẩn '%2$s',vi-VN
%1$s 함수에 %2$s 인수가 누락되었습니다,Thiếu đối số %2$s cho hàm %1$s,vi-VN
%1$s 함수에 인수들이 누락되었습니다,Thiếu đối số cho hàm %s,vi-VN
"%1$s, %2$s, %3$sから%4$s, %5$s, %6$sの間にバイオームを設定しました","Quần xã sinh vật đã được đặt giữa %s, %s, %s và %s, %s, %s",vi-VN
%1$sの%3$sの値は%2$sです,%s có %s %s,vi-VN
%1$sを%2$sから降ろしました,%s đã ngừng cưỡi %s,vi-VN
%1$sを%2$sに騎乗させました,%s đã bắt đầu cưỡi %s,vi-VN
"%1$s个实体未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","Không thể trải %s thực thể quanh %s, %s (quá nhiều thực thể cho không gian - hãy thử trải tối đa %s)",vi-VN
"%1$s体のエンティティを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対してエンティティの数が多すぎます。%4$s体以下で散開させてみてください）","Không thể trải %s thực thể quanh %s, %s (quá nhiều thực thể cho không gian - hãy thử trải tối đa %s)",vi-VN
