id,term,src_table
DemonAdvance.1.1,Authorization Level,DemonAdvance.json
DictionaryDiagram.10020101.1,Level Up,DictionaryDiagram.json
DictionaryDiagram.10020102.1,Tier Up,DictionaryDiagram.json
DictionaryDiagram.10020103.1,Awakening,DictionaryDiagram.json
DictionaryDiagram.10030101.1,Skills Description,DictionaryDiagram.json
DictionaryDiagram.10030102.1,Skills Enhancement,DictionaryDiagram.json
DictionaryDiagram.10040102.1,Unlocking Affixes,DictionaryDiagram.json
DictionaryDiagram.10040103.1,Affix Synergy,DictionaryDiagram.json
DictionaryDiagram.10060101.1,Talent Description,DictionaryDiagram.json
DictionaryDiagram.10060102.1,Talent Effect,DictionaryDiagram.json
DictionaryDiagram.10070101.1,Affinity Description,DictionaryDiagram.json
DictionaryDiagram.10070102.1,Increase Affinity - Affinity Task,DictionaryDiagram.json
DictionaryDiagram.10080101.1,Trekker Emblem,DictionaryDiagram.json
DictionaryDiagram.10080102.1,Emblem Material,DictionaryDiagram.json
DictionaryDiagram.10080103.1,Trekker Preference,DictionaryDiagram.json
DictionaryDiagram.10080104.1,Emblem Forging,DictionaryDiagram.json
DictionaryDiagram.10080105.1,Emblem Reforging,DictionaryDiagram.json
DictionaryDiagram.10080106.1,Reforge Locking,DictionaryDiagram.json
DictionaryDiagram.10080107.1,Emblem Tempering,DictionaryDiagram.json
DictionaryDiagram.20020101.1,Monolith: Description,DictionaryDiagram.json
DictionaryDiagram.20020102.1,Monolith: Potential,DictionaryDiagram.json
DictionaryDiagram.20020103.1,Monolith: Musical Note,DictionaryDiagram.json
DictionaryDiagram.20020104.1,Monolith: Harmony Skill,DictionaryDiagram.json
DictionaryDiagram.20020105.1,Monolith: Event,DictionaryDiagram.json
DictionaryDiagram.20020107.1,Monolith: Records,DictionaryDiagram.json
DictionaryDiagram.20020201.1,Description,DictionaryDiagram.json
DictionaryDiagram.20020202.1,Research Layers,DictionaryDiagram.json
DictionaryDiagram.20020203.1,Research Requirements,DictionaryDiagram.json
DictionaryDiagram.20030101.1,Record Description,DictionaryDiagram.json
DictionaryDiagram.20030102.1,Potentials and Blessings,DictionaryDiagram.json
DictionaryDiagram.20030204.1,Potential Presets: Share & Import,DictionaryDiagram.json
DictionaryDiagram.20040101.1,Travel Story,DictionaryDiagram.json
DictionaryDiagram.20050101.1,Daily Task,DictionaryDiagram.json
DictionaryDiagram.20060101.1,Enemy Hunting,DictionaryDiagram.json
DictionaryDiagram.20070101.1,Emblem Hunting,DictionaryDiagram.json
DictionaryDiagram.20080103.1,Summit Show,DictionaryDiagram.json
DictionaryDiagram.20090101.1,Stat Bonus,DictionaryDiagram.json
DictionaryDiagram.20090102.1,Main Slot: Melody Skill,DictionaryDiagram.json
DictionaryDiagram.20090103.1,Main Slot: Harmony Skill,DictionaryDiagram.json
DictionaryDiagram.20090104.1,Support Slot: Initial Musical Note,DictionaryDiagram.json
DictionaryDiagram.20100101.1,Contacts,DictionaryDiagram.json
DictionaryDiagram.20100102.1,Chats,DictionaryDiagram.json
DictionaryDiagram.20100103.1,Chat History,DictionaryDiagram.json
DictionaryDiagram.20110101.1,Vigor Description,DictionaryDiagram.json
DictionaryDiagram.20110102.1,Vigor Recovery,DictionaryDiagram.json
DictionaryDiagram.20110103.1,Vigor Reserve,DictionaryDiagram.json
DictionaryDiagram.20120101.1,Gameplay Overview,DictionaryDiagram.json
DictionaryDiagram.20120102.1,Arena Rules,DictionaryDiagram.json
