source,target,tgt_lng
Nod Krai,Nod-Krai,vi-VN
Инадзума,Inazuma,vi-VN
Ли Юэ,Liyue,vi-VN
Мондштадт,Mondstadt,vi-VN
Натлан,Natlan,vi-VN
Нод-Край,Nod-Krai,vi-VN
Сумеру,Sumeru,vi-VN
Фонтейн,Fontaine,vi-VN
スメール,Sumeru,vi-VN
ナタ,Natlan,vi-VN
ナド・クライ,Nod-Krai,vi-VN
フォンテーヌ,Fontaine,vi-VN
モンド,Mondstadt,vi-VN
挪德卡莱,Nod-Krai,vi-VN
挪德卡萊,Nod-Krai,vi-VN
枫丹,Fontaine,vi-VN
楓丹,Fontaine,vi-VN
璃月,Liyue,vi-VN
稲妻,Inazuma,vi-VN
稻妻,Inazuma,vi-VN
納塔,Natlan,vi-VN
纳塔,Natlan,vi-VN
蒙德,Mondstadt,vi-VN
須彌,Sumeru,vi-VN
须弥,Sumeru,vi-VN
나타,Natlan,vi-VN
노드크라이,Nod-Krai,vi-VN
리월,Liyue,vi-VN
몬드,Mondstadt,vi-VN
수메르,Sumeru,vi-VN
이나즈마,Inazuma,vi-VN
폰타인,Fontaine,vi-VN
