source,target,tgt_lng
Bí Cảnh Chúc Phúc: Biến Tấu I,祈聖秘境：変奏 I,ja-JP
Bí Cảnh Chúc Phúc: Biến Tấu II,祈聖秘境：変奏 II,ja-JP
Bí Cảnh Chúc Phúc: Biến Tấu III,祈聖秘境：変奏 III,ja-JP
Bí Cảnh Chúc Phúc: Biến Tấu IV,祈聖秘境：変奏 IV,ja-JP
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần I,祈聖秘境：死告の霜 I,ja-JP
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần II,祈聖秘境：死告の霜 II,ja-JP
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần III,祈聖秘境：死告の霜 III,ja-JP
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần IV,祈聖秘境：死告の霜 IV,ja-JP
Bí Cảnh Chúc Phúc: Băng Thực I,祈聖秘境・氷蝕 I,ja-JP
Bí Cảnh Chúc Phúc: Băng Thực II,祈聖秘境・氷蝕 II,ja-JP
Bí Cảnh Chúc Phúc: Băng Thực III,祈聖秘境・氷蝕 III,ja-JP
Bí Cảnh Chúc Phúc: Băng Thực IV,祈聖秘境・氷蝕 IV,ja-JP
Bí Cảnh Chúc Phúc: Bất Di I,祈聖秘境：不動 I,ja-JP
Bí Cảnh Chúc Phúc: Bất Di II,祈聖秘境：不動 II,ja-JP
Bí Cảnh Chúc Phúc: Bất Di III,祈聖秘境：不動 III,ja-JP
Bí Cảnh Chúc Phúc: Bất Di IV,祈聖秘境：不動 IV,ja-JP
Bí Cảnh Chúc Phúc: Cơ Sào I,祈聖秘境：機巢 I,ja-JP
Bí Cảnh Chúc Phúc: Cơ Sào II,祈聖秘境：機巢 II,ja-JP
Bí Cảnh Chúc Phúc: Cơ Sào III,祈聖秘境：機巢 III,ja-JP
Bí Cảnh Chúc Phúc: Cơ Sào IV,祈聖秘境：機巢 IV,ja-JP
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng I,祈聖秘境：深火の構築 I,ja-JP
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng II,祈聖秘境：深火の構築 II,ja-JP
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng III,祈聖秘境：深火の構築 III,ja-JP
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng IV,祈聖秘境：深火の構築 IV,ja-JP
Bí Cảnh Chúc Phúc: Hoa Diên I,祈聖秘境：花の宴 I,ja-JP
Bí Cảnh Chúc Phúc: Hoa Diên II,祈聖秘境：花の宴 II,ja-JP
Bí Cảnh Chúc Phúc: Hoa Diên III,祈聖秘境：花の宴 III,ja-JP
Bí Cảnh Chúc Phúc: Hoa Diên IV,祈聖秘境：花の宴 IV,ja-JP
Bí Cảnh Chúc Phúc: Hài Cốt I,祈聖秘境：骸館 I,ja-JP
Bí Cảnh Chúc Phúc: Hài Cốt II,祈聖秘境：骸館 II,ja-JP
Bí Cảnh Chúc Phúc: Hài Cốt III,祈聖秘境：骸館 III,ja-JP
Bí Cảnh Chúc Phúc: Hài Cốt IV,祈聖秘境：骸館 IV,ja-JP
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát I,祈聖秘境：朽ち果てた集会場 I,ja-JP
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát II,祈聖秘境：朽ち果てた集会場 II,ja-JP
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát III,祈聖秘境：朽ち果てた集会場 III,ja-JP
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát IV,祈聖秘境：朽ち果てた集会場 IV,ja-JP
Bí Cảnh Chúc Phúc: Kho Thánh I,祈聖秘境：聖庫 I,ja-JP
Bí Cảnh Chúc Phúc: Kho Thánh II,祈聖秘境：聖庫 II,ja-JP
Bí Cảnh Chúc Phúc: Kho Thánh III,祈聖秘境：聖庫 III,ja-JP
Bí Cảnh Chúc Phúc: Kho Thánh IV,祈聖秘境：聖庫 IV,ja-JP
Bí Cảnh Chúc Phúc: Kinh Trập I,祈聖秘境：啓蟄 I,ja-JP
Bí Cảnh Chúc Phúc: Kinh Trập II,祈聖秘境：啓蟄 II,ja-JP
