id,term,src_table
Equipment.1,หินอัปเกรดขั้นต่ำ,equipment.json
Equipment.2,หินอัปเกรดขั้นกลาง,equipment.json
Equipment.3,หินอัปเกรดขั้นสูง,equipment.json
Equipment.4,หินอัปเกรดขั้นสูงสุด,equipment.json
Equipment.10,สปริงขึ้นสนิม,equipment.json
Equipment.11,สปริงสมบูรณ์,equipment.json
Equipment.12,สปริงโครเมียม,equipment.json
Equipment.13,สปริงไทเทเนียม,equipment.json
Equipment.20,แฮมเมอร์ปืนขึ้นสนิม,equipment.json
Equipment.21,แฮมเมอร์ปืนสมบูรณ์,equipment.json
Equipment.22,แฮมเมอร์ปืนโครเมียม,equipment.json
Equipment.23,แฮมเมอร์ปืนไทเทเนียม,equipment.json
Equipment.30,ลำปืนขึ้นสนิม,equipment.json
Equipment.31,ลำปืนสมบูรณ์,equipment.json
Equipment.32,ลำปืนโครเนียม,equipment.json
Equipment.33,ลำปืนไทเทเนียม,equipment.json
Equipment.40,เข็มชนวนขึ้นสนิม,equipment.json
Equipment.41,เข็มชนวนสมบูรณ์,equipment.json
Equipment.42,เข็มชนวนโครเมียม,equipment.json
Equipment.43,เข็มชนวนไทเทเนียม,equipment.json
Equipment.1000,หมวกแก๊ป,equipment.json
Equipment.1001,หมวกไหมพรม,equipment.json
Equipment.1002,หมวกบิ๊กบราเธอร์,equipment.json
Equipment.1003,หมวกเบเร่ต์โบว์,equipment.json
Equipment.1004,หมวกกันกระสุน,equipment.json
Equipment.1005,หมวกปีกจีบมินิ,equipment.json
Equipment.1006,หมวกบักเก็ต,equipment.json
Equipment.1007,リーフリボン付き中折れ帽,equipment.json
Equipment.2000,ถุงมือกีฬา,equipment.json
Equipment.2001,ถุงมือไหมพรม,equipment.json
Equipment.2002,ถุงมือเพโรโร่,equipment.json
Equipment.2003,ถุงมือหนัง,equipment.json
Equipment.2004,ถุงมือทหาร,equipment.json
Equipment.2005,ถุงมือลูกไม้,equipment.json
Equipment.2006,ปลอกแขนอบอุ่น,equipment.json
Equipment.2007,パールヤーングローブ,equipment.json
Equipment.3000,รองเท้าผ้าใบสีชมพู,equipment.json
Equipment.3001,บูทกันหนาว,equipment.json
Equipment.3002,สลิปเปอร์พิงค์กี้พาก้า,equipment.json
Equipment.3003,รองเท้าโลฟเฟอร์,equipment.json
Equipment.3004,รองเท้าทหาร,equipment.json
Equipment.3005,รองเท้าส้นสูงพันข้อ,equipment.json
Equipment.3006,รองเท้าผ้าใบธรรมดา,equipment.json
Equipment.3007,防水登山ブーツ,equipment.json
Equipment.4000,กระเป๋ากีฬา,equipment.json
Equipment.4001,กระเป๋าสะพายข้าง,equipment.json
Equipment.4002,กระเป๋าเป้เพโรโร่,equipment.json
Equipment.4003,กระเป๋านักเรียน,equipment.json
Equipment.4004,กระเป๋าเป้ทหาร,equipment.json
Equipment.4005,กระเป๋าเดวิลวิงส์,equipment.json
Equipment.4006,กระเป๋าสตรีท,equipment.json
Equipment.4007,蝶柄のショルダーバッグ,equipment.json
Equipment.5000,เครื่องหมายเหล็กเซอร์วัล,equipment.json
Equipment.5001,เครื่องหมายผ้ามานาซึรุ,equipment.json
Equipment.5002,เครื่องหมายแองกี้อาเดลี,equipment.json
Equipment.5003,เครื่องหมายปักลายเวโรนิก้า,equipment.json
Equipment.5004,เครื่องหมายคาเซยาม่า,equipment.json
Equipment.5005,เครื่องหมายโคโค่เดวิลเงิน,equipment.json
Equipment.5006,เครื่องหมายสตรีท,equipment.json
Equipment.5007,ローレライバッジ,equipment.json
Equipment.6000,ผ้าคาดหัวนักเทนนิส,equipment.json
Equipment.6001,ยางมัดผม,equipment.json
Equipment.6002,กิ๊บติดผมลูกพีช,equipment.json
Equipment.6003,กิ๊บติดผมปีก,equipment.json
Equipment.6004,กิ๊บอเนกประสงค์,equipment.json
Equipment.6005,กิ๊บติดผมปีกค้างคาว,equipment.json
Equipment.6006,กิ๊บติดผมอักษรศิลป์,equipment.json
Equipment.6007,リーフヘアピン,equipment.json
Equipment.7000,เครื่องรางเดินทางปลอดภัย,equipment.json
Equipment.7001,ถุงร้อนอุ่นมือ,equipment.json
Equipment.7002,ขนนกของเพโรโร่,equipment.json
Equipment.7003,จี้กางเขน,equipment.json
Equipment.7004,ดารุมะลายพราง,equipment.json
Equipment.7005,ตุ๊กตาวูดู,equipment.json
Equipment.7006,เครื่องหอมแบบพกพา,equipment.json
Equipment.7007,ドリームキャッチャー,equipment.json
Equipment.8000,นาฬิกาดิจิตอลกันน้ำ,equipment.json
Equipment.8001,นาฬิกาข้อมือหนัง,equipment.json
Equipment.8002,นาฬิกาเวฟแคท,equipment.json
Equipment.8003,นาฬิกาพกโบราณ,equipment.json
Equipment.8004,นาฬิกาลายพราง,equipment.json
Equipment.8005,นาฬิกาข้อมือโกธิก,equipment.json
Equipment.8006,นาฬิกาสตรีทแฟชั่น,equipment.json
Equipment.8007,ローレライの腕時計,equipment.json
Equipment.9000,สร้อยคอบลูธูท,equipment.json
Equipment.9001,สร้อยคอเกล็ดหิมะ,equipment.json
Equipment.9002,สร้อยคอนิโคไล,equipment.json
Equipment.9003,โชคเกอร์จี้กางเขน,equipment.json
Equipment.9004,ป้ายชื่อทหาร,equipment.json
Equipment.9005,โชคเกอร์พังก์,equipment.json
Equipment.9006,สร้อยคอโซ่,equipment.json
Equipment.9007,グリーンリーフネックレス,equipment.json
Equipment.101001,สูตรหมวกไหมพรม,equipment.json
Equipment.101002,สูตรหมวกบิ๊กบราเธอร์,equipment.json
Equipment.101003,สูตรหมวกเบเร่ต์โบว์,equipment.json
Equipment.101004,สูตรหมวกกันกระสุน,equipment.json
Equipment.101005,สูตรหมวกผ้าจีบมินิ,equipment.json
Equipment.101006,สูตรหมวกบักเก็ต,equipment.json
Equipment.101007,リーフリボン付き中折れ帽の設計図,equipment.json
Equipment.102001,สูตรถุงมือไหมพรม,equipment.json
Equipment.102002,สูตรถุงมือเพโรโร่,equipment.json
Equipment.102003,สูตรถุงมือหนัง,equipment.json
Equipment.102004,สูตรถุงมือทหาร,equipment.json
Equipment.102005,สูตรถุงมือลูกไม้,equipment.json
Equipment.102006,สูตรปลอกแขนอบอุ่น,equipment.json
Equipment.102007,パールヤーングローブの設計図,equipment.json
Equipment.103001,สูตรบูทกันหนาว,equipment.json
Equipment.103002,สูตรสลิปเปอร์พิงค์กี้พาก้า,equipment.json
Equipment.103003,สูตรรองเท้าโลฟเฟอร์,equipment.json
Equipment.103004,สูตรรองเท้าทหาร,equipment.json
Equipment.103005,สูตรรองเท้าส้นสูงพันข้อ,equipment.json
Equipment.103006,สูตรรองเท้าผ้าใบธรรมดา,equipment.json
Equipment.103007,防水登山ブーツの設計図,equipment.json
Equipment.104001,สูตรกระเป๋าสะพายข้าง,equipment.json
Equipment.104002,สูตรกระเป๋าเป้เพโรโร่,equipment.json
Equipment.104003,สูตรกระเป๋านักเรียน,equipment.json
Equipment.104004,สูตรกระเป๋าทหาร,equipment.json
Equipment.104005,สูตรกระเป๋าเดวิลวิงส์,equipment.json
Equipment.104006,สูตรกระเป๋าสตรีท,equipment.json
Equipment.104007,蝶柄のショルダーバッグの設計図,equipment.json
Equipment.105001,สูตรเครื่องหมายผ้ามานาซึรุ,equipment.json
Equipment.105002,สูตรเครื่องหมายแองกี้อาเดลี,equipment.json
Equipment.105003,สูตรเครื่องหมายปักลายเวโรนิก้า,equipment.json
Equipment.105004,สูตรเครื่องหมายคาเซยาม่า,equipment.json
Equipment.105005,สูตรเครื่องหมายโคโค่เดวิลเงิน,equipment.json
Equipment.105006,สูตรเครื่องหมายสตรีท,equipment.json
Equipment.105007,ローレライバッジの設計図,equipment.json
Equipment.106001,สูตรยางมัดผม,equipment.json
Equipment.106002,สูตรกิ๊บติดผมลูกพีช,equipment.json
Equipment.106003,สูตรกิ๊บติดผมปีก,equipment.json
Equipment.106004,สูตรกิ๊บอเนกประสงค์,equipment.json
Equipment.106005,สูตรกิ๊บติดผมปีกค้างคาว,equipment.json
Equipment.106006,สูตรกิ๊บติดผมอักษรศิลป์,equipment.json
Equipment.106007,リーフヘアピンの設計図,equipment.json
Equipment.107001,สูตรถุงร้อนอุ่นมือ,equipment.json
Equipment.107002,สูตรขนนกของเพโรโร่,equipment.json
Equipment.107003,สูตรจี้กางเขน,equipment.json
Equipment.107004,สูตรดารุมะลายพราง,equipment.json
Equipment.107005,สูตรตุ๊กตาวูดู,equipment.json
Equipment.107006,สูตรเครื่องหอมแบบพกพา,equipment.json
Equipment.107007,ドリームキャッチャーの設計図,equipment.json
