id,term,src_table
ClubBossTaskVo.700000.desc,ギルド特訓を1回完了する,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700001.desc,ギルド特訓を2回完了する,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700002.desc,ギルド特訓を3回完了する,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700004.desc,ギルドチャットで1回発言する,Club/ClubBossTaskVo.txt
ClubBossTaskVo.700005.desc,1回ログインする,Club/ClubBossTaskVo.txt
ClubCatCarBossTalkVo.1.text1,お前らでは抽選券を手に入らないよ。,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.1.text2,話はオレに追いついてからだ！,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.1.text3,ははは,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.2.text1,ふふん、もう二日目だぞ,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.2.text2,とっとと諦めな,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.3.text1,クソッ、体力がついていけない。,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.3.text2,ちょっと待ってよ！,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text1,もうちょっと頑張れば,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text2,よしゃ！振り切った！,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.4.text3,ははは,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text1,これ以上走れねぇ、このままじゃオレ,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text2,明日に死ぬのかな…,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.5.text3,あああー！,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarBossTalkVo.6.text1,抽選券が欲しけりゃオレを倒しな！,ClubCatCar/ClubCatCarBossTalkVo.txt
ClubCatCarOpeningAnimationVo.1.dec,これはなに？,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.10.dec,(//oДo?/),ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.11.dec,"(,#0Д0)",ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.12.dec,(╯°Д°)╯,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.2.dec,抽選券！,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.3.dec,抽選券？！,ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarOpeningAnimationVo.6.dec,(oωo?),ClubCatCar/ClubCatCarOpeningAnimationVo.txt
ClubCatCarRankRewardVo.1.name,1位,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.10.name,1000位以外,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.2.name,2位,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.3.name,3位,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.4.name,4位,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.5.name,10位以内,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.6.name,20位以内,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.7.name,ランキング100位に入る。,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.8.name,ランキング500位に入る。,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubCatCarRankRewardVo.9.name,ランキング1000位に入る。,ClubCatCar/ClubCatCarRankRewardVo.txt
ClubFeedCatExpVo.1.txtBuff,"Pending社团大乱斗中攻击+0.25%,防御+0.25%,血量+0.50%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.1.txtLevel,早く大人になりたいなぁ…,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.10.txtBuff,"Pending社团大乱斗中攻击+2.50%,防御+2.50%,血量+5.00%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.10.txtLevel,早く大人になりたいなぁ…,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.11.txtBuff,"Pending社团大乱斗中攻击+2.75%,防御+2.75%,血量+5.50%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.11.txtLevel,もっと強くなった気がする！,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.12.txtBuff,"Pending社团大乱斗中攻击+3.00%,防御+3.00%,血量+6.00%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.12.txtLevel,あぁ……やる気が出ない……,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.13.txtBuff,"Pending社团大乱斗中攻击+3.25%,防御+3.25%,血量+6.50%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.13.txtLevel,早く大人になりたいなぁ…,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.14.txtBuff,"Pending社团大乱斗中攻击+3.50%,防御+3.50%,血量+7.00%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.14.txtLevel,もっと強くなった気がする！,ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.15.txtBuff,"Pending社团大乱斗中攻击+3.75%,防御+3.75%,血量+7.50%",ClubFeedCat/ClubFeedCatExpVo.txt
ClubFeedCatExpVo.15.txtLevel,あぁ……やる気が出ない……,ClubFeedCat/ClubFeedCatExpVo.txt
