source,target,tgt_lng
暴击时，附带_#passive_passiveper_1_1_1_1_攻击力的真实伤害,크리티컬 시 공격력의 _#passive_passiveper_1_1_1_1_에 해당하는 고정 대미지를 부여한다.,ko-KR
爆擊時，附帶_#passive_passiveper_1_1_1_1_攻擊力的真實傷害,크리티컬 시 공격력의 _#passive_passiveper_1_1_1_1_에 해당하는 고정 대미지를 부여한다.,ko-KR
Deals additional _#passive_passiveper_1_1_1_1_ ATK as True DMG when skills crit.,크리티컬 시 공격력의 _#passive_passiveper_1_1_1_1_에 해당하는 고정 대미지를 부여한다.,ko-KR
会心発生時、攻撃力の_#passive_passiveper_1_1_1_1_の直撃ダメージを追加で与える。,크리티컬 시 공격력의 _#passive_passiveper_1_1_1_1_에 해당하는 고정 대미지를 부여한다.,ko-KR
เมื่อ​โจมตี​ติด​ค​ริ​ติ​คอ​ล​ จะ​สร้าง​ดา​เม​จ​จริง​ _#passive_passiveper_1_1_1_1_​ ของ​ ATK​,크리티컬 시 공격력의 _#passive_passiveper_1_1_1_1_에 해당하는 고정 대미지를 부여한다.,ko-KR
猫猫震怒,화났다냥,ko-KR
貓貓震怒,화났다냥,ko-KR
Cat's Rage,화났다냥,ko-KR
猫様の怒り,화났다냥,ko-KR
แมวเหมียวฉุนเฉียว,화났다냥,ko-KR
每回合首次释放技能时，造成的伤害提升_#passive_passiveper_1_1_1_1_,"매 턴 스킬을 첫 시전할 때마다, 대미지 +_#passive_passiveper_1_1_1_1_",ko-KR
每回合首次釋放技能時，造成的傷害提升_#passive_passiveper_1_1_1_1_,"매 턴 스킬을 첫 시전할 때마다, 대미지 +_#passive_passiveper_1_1_1_1_",ko-KR
Deals _#passive_passiveper_1_1_1_1_ more DMG when using a skill for the first time each turn.,"매 턴 스킬을 첫 시전할 때마다, 대미지 +_#passive_passiveper_1_1_1_1_",ko-KR
