source,target,tgt_lng
"""4½""",« 4½ »,fr-FR
"""A Vida é Bela""",« La Vie est belle »,fr-FR
"""Aemeath"" está esperando por você no terraço da Faculdade Rabelle. Vá encontrá-la.","« Aemeath » vous attend au sommet de l'Institut Rabelle, retrouvez-la.",fr-FR
"""Aemeath"" is waiting for you on the rooftop of Rabelle College. Go meet her.","« Aemeath » vous attend au sommet de l'Institut Rabelle, retrouvez-la.",fr-FR
"""Aemeath"" กำลังรอคุณอยู่ที่ชั้นบนสุดของวิทยาลัยราเบลล์ ไปพบเธอเถอะ","« Aemeath » vous attend au sommet de l'Institut Rabelle, retrouvez-la.",fr-FR
"""Cena de Reparo do Departamento de Engenharia""",« Ingénierie en scènes de réparation »,fr-FR
"""Department of Engineering Repair Scene""",« Ingénierie en scènes de réparation »,fr-FR
"""Espaço de trabalho secreto"" de Luuk Herssen",L'atelier secret de Luuk Herssen,fr-FR
"""Festivais Não Fazem Bis""",« Les festivals ne font pas de bis »,fr-FR
"""Festivals Don't Encore""",« Les festivals ne font pas de bis »,fr-FR
"""Life is Beautiful""",« La Vie est belle »,fr-FR
"""Life of a Resonator""",« Vie d'une Résonatrice »,fr-FR
"""Vida de um Ressonante""",« Vie d'une Résonatrice »,fr-FR
"""งานฉลองอันแสนล้ำค่า""",« Les festivals ne font pas de bis »,fr-FR
"""ท่านมิโกะ"" แห่งอาชิโนะฮาระ",La « légendaire miko » d'Ashinohara,fr-FR
"""ห้องทำงานลับ"" ของ Luuk Herssen",L'atelier secret de Luuk Herssen,fr-FR
"""ฮิฮิ"" ไม่ฮิฮิ",Pressez. Pas de plaisanterie.,fr-FR
"""เงียบงันเมื่อใบไม้ร่วง""",Silencieux comme une feuille qui tombe,fr-FR
(Do not display) Co-op Challenge show display,(Ne pas afficher) Affichage du Défi Coopération,fr-FR
(Do not display) Co-op Challenge show display,(Ne pas afficher) Afficher le défi Co-op,fr-FR
(Do not display) Connecting to the challenge to hide display,(Ne pas afficher) Connexion au défi pour masquer l'affichage,fr-FR
(Eingang der Yuan-Festung),(Ancienne Forteresse Yuan),fr-FR
