source,target,tgt_lng
(ガチャで) すり抜ける,（小保底）歪了,zh-CN
(ガチャを) 引く,抽,zh-CN
(マルチプレイへの) 加入申請,申请加入,zh-CN
1凸,1命,zh-CN
2凸,2命,zh-CN
3凸,3命,zh-CN
4凸,4命,zh-CN
5凸,5命,zh-CN
ATK,攻击力,zh-CN
Abyssal Corrosion Syndrome,渊蚀综合征,zh-CN
Adventure Rank,冒险等阶,zh-CN
Aggravate,超激化,zh-CN
Ancient Name,古名,zh-CN
Anemo,风（元素）,zh-CN
Aquatic Stamina,水中耐力,zh-CN
Arkhe,始基力,zh-CN
Balanced,均衡态,zh-CN
Balethunder,雷祸,zh-CN
Battle Pass,纪行,zh-CN
Blessing of the Welkin Moon,空月祝福,zh-CN
Bloom,绽放,zh-CN
Burgeon,烈绽放,zh-CN
Burning,燃烧,zh-CN
CRIT Rate,暴击率,zh-CN
Candle of Life,生之烛,zh-CN
Casket of Tomes,秘典之盒,zh-CN
Catalyze,激化,zh-CN
Character Card,角色牌,zh-CN
Co-Op mode,多人游戏,zh-CN
Constellation,命之座,zh-CN
Cooldown / CD,冷却时间,zh-CN
Craft,合成,zh-CN
Cryo,冰（元素）,zh-CN
Crystalize,结晶,zh-CN
Current,洋流,zh-CN
DEF,防御力,zh-CN
DMG,伤害,zh-CN
Decay,凋零,zh-CN
Decay Projectile,凋零弹,zh-CN
Dendro,草（元素）,zh-CN
Destiny Drawn,「相缘绘愿」,zh-CN
Different Phantoms,虚影,zh-CN
Draught of Lucidity,清幻剂,zh-CN
Electro,雷（元素）,zh-CN
Electro-Charged,感电,zh-CN
Elemental Dice,元素骰,zh-CN
Elemental RES,元素抗性,zh-CN
Elemental Reactions,元素反应,zh-CN
Elemental Resonance,元素共鸣,zh-CN
Elemental Shield,元素护盾,zh-CN
Elemental Sight,元素视野,zh-CN
Elemental Skill,元素战技,zh-CN
Enduring Rock,坚定之岩,zh-CN
Energy Recharge,元素充能效率,zh-CN
Epic Feast Showdown,豪宴热斗,zh-CN
Epitome Invocation,神铸赋形,zh-CN
