source,target,tgt_lng
Aeroimpulso,돌풍,ko-KR
Affilage,휩쓸기,ko-KR
Affilatezza,날카로움,ko-KR
Affinità all'acqua,친수성,ko-KR
Affinité aquatique,친수성,ko-KR
Affondo,돌진,ko-KR
Afiação,날카로움,ko-KR
Afinidad acuática,친수성,ko-KR
Afinidade Aquática,친수성,ko-KR
Agilidad acuática,물갈퀴,ko-KR
Agilité aquatique,물갈퀴,ko-KR
Agilité des âmes,영혼 가속,ko-KR
Alcance,휩쓸기,ko-KR
Alev,화염,ko-KR
Alevden Çehre,발화,ko-KR
Anatema,강타,ko-KR
Apnée,호흡,ko-KR
Appât,미끼,ko-KR
Aqua Affinity,친수성,ko-KR
Aspecto Flamejante,발화,ko-KR
Aspecto ígneo,발화,ko-KR
Aspetto di fuoco,발화,ko-KR
Ateş Koruması,화염으로부터 보호,ko-KR
Atmung,호흡,ko-KR
Atracción,미끼,ko-KR
Atterraggio morbido,가벼운 착지,ko-KR
Atılma,돌진,ko-KR
Aura de feu,발화,ko-KR
Ausfallschritt,돌진,ko-KR
Aşma,격파,ko-KR
Bane of Arthropods,살충,ko-KR
Bann,강타,ko-KR
Barrido,휩쓸기,ko-KR
Bağlanma Laneti,귀속 저주,ko-KR
Behutsamkeit,섬세한 손길,ko-KR
Blast Protection,폭발로부터 보호,ko-KR
Botín,약탈,ko-KR
Breach,격파,ko-KR
Breccia,격파,ko-KR
Brèche,격파,ko-KR
Butin,약탈,ko-KR
Bảo vệ,보호,ko-KR
Bảo vệ khỏi lửa,화염으로부터 보호,ko-KR
Bảo vệ khỏi sát thương rơi,가벼운 착지,ko-KR
Bảo vệ khỏi vật bắn ra,발사체로부터 보호,ko-KR
Bảo vệ khỏi vụ nổ,폭발로부터 보호,ko-KR
Canalisation,집전,ko-KR
Canalizzazione,집전,ko-KR
Carga Rápida,빠른 장전,ko-KR
Carga rápida,빠른 장전,ko-KR
Carica rapida,빠른 장전,ko-KR
Caída de pluma,가벼운 착지,ko-KR
Chama,화염,ko-KR
Chance de la mer,바다의 행운,ko-KR
Channeling,집전,ko-KR
Charge rapide,빠른 장전,ko-KR
Chute amortie,가벼운 착지,ko-KR
Chân lạnh,차가운 걸음,ko-KR
Châtiment,강타,ko-KR
Chậm hỏng,내구성,ko-KR
Chớp điện,집전,ko-KR
Colpo di vento,돌풍,ko-KR
Conductividad,집전,ko-KR
Condutividade,집전,ko-KR
Contraccolpo,밀치기,ko-KR
Correnteza,급류,ko-KR
Curse of Binding,귀속 저주,ko-KR
Curse of Vanishing,소실 저주,ko-KR
Delme,관통,ko-KR
Deniz Şansı,바다의 행운,ko-KR
Densidad,육중,ko-KR
Densidade,육중,ko-KR
Density,육중,ko-KR
Densità,육중,ko-KR
Densité,육중,ko-KR
Depth Strider,물갈퀴,ko-KR
Derin Koşucu,물갈퀴,ko-KR
Dichte,육중,ko-KR
Dikenli,가시,ko-KR
Diệt chân đốt,살충,ko-KR
Diệt xác sống,강타,ko-KR
Dondurucu Yürüyüş,차가운 걸음,ko-KR
Dornen,가시,ko-KR
Durchbruch,격파,ko-KR
Durchschuss,관통,ko-KR
Efficacité,효율,ko-KR
Efficiency,효율,ko-KR
Efficienza,효율,ko-KR
Effizienz,효율,ko-KR
Eficiencia,효율,ko-KR
Eficiência,효율,ko-KR
Eisläufer,차가운 걸음,ko-KR
Eklembacaklıların Kıyameti,살충,ko-KR
Empalamento,찌르기,ko-KR
Empalamiento,찌르기,ko-KR
Empalement,찌르기,ko-KR
Empuje,밀치기,ko-KR
Entladung,집전,ko-KR
Esca,미끼,ko-KR
Espinas,가시,ko-KR
Espinhos,가시,ko-KR
Estocada,돌진,ko-KR
Explosionsschutz,폭발로부터 보호,ko-KR
Feather Falling,가벼운 착지,ko-KR
Federfall,가벼운 착지,ko-KR
Feuerschutz,화염으로부터 보호,ko-KR
Fiamma,화염,ko-KR
Filo,날카로움,ko-KR
Fire Aspect,발화,ko-KR
Fire Protection,화염으로부터 보호,ko-KR
Fisura,격파,ko-KR
Flagello degli artropodi,살충,ko-KR
Flame,화염,ko-KR
Flamme,화염,ko-KR
Fluch der Bindung,귀속 저주,ko-KR
Fluch des Verschwindens,소실 저주,ko-KR
Fléau des arthropodes,살충,ko-KR
Fortuna,행운,ko-KR
Fortuna del mare,바다의 행운,ko-KR
Fortune,행운,ko-KR
Força,힘,ko-KR
Frappe,밀어내기,ko-KR
Frost Walker,차가운 걸음,ko-KR
Fuego,화염,ko-KR
Furtivité rapide,신속한 잠행,ko-KR
Gai,가시,ko-KR
Ganimet,약탈,ko-KR
Gia tài,행운,ko-KR
Girdap,급류,ko-KR
Glück,행운,ko-KR
Glück des Meeres,바다의 행운,ko-KR
Golpeo,강타,ko-KR
Gây cháy,발화,ko-KR
Güç,힘,ko-KR
Haltbarkeit,내구성,ko-KR
Harpune,찌르기,ko-KR
Hiệu suất,효율,ko-KR
Huschen,신속한 잠행,ko-KR
Hô hấp,호흡,ko-KR
Hızlı Çekiş,빠른 장전,ko-KR
Impacto,밀어내기,ko-KR
Impalamento,찌르기,ko-KR
Impaling,찌르기,ko-KR
Impatto,밀어내기,ko-KR
Impulsion,급류,ko-KR
Indistruttibilità,내구성,ko-KR
Infinidad,무한,ko-KR
Infinidade,무한,ko-KR
Infinity,무한,ko-KR
Infinità,무한,ko-KR
Infinité,무한,ko-KR
Inquebrável,내구성,ko-KR
Irrompibilidad,내구성,ko-KR
Isca,미끼,ko-KR
İpeksi Dokunuş,섬세한 손길,ko-KR
İtme,밀어내기,ko-KR
Julgamento,강타,ko-KR
Kaybolma Laneti,소실 저주,ko-KR
Keskinlik,날카로움,ko-KR
Knockback,밀치기,ko-KR
Koruma,보호,ko-KR
Köder,미끼,ko-KR
Kırılmazlık,내구성,ko-KR
Lama sferzante,휩쓸기,ko-KR
Lao tới,돌진,ko-KR
Lealdade,충성,ko-KR
Lealtad,충성,ko-KR
Lealtà,충성,ko-KR
Looting,약탈,ko-KR
Loyalty,충성,ko-KR
Loyauté,충성,ko-KR
Luck of the Sea,바다의 행운,ko-KR
