source,target,tgt_lng
Achievement: Adeptal Valley,Obiettivo: Valle adeptica,it-IT
Achievement: All-Seeing,Obiettivo: Vista completa,it-IT
Achievement: Blaze,Obiettivo: Vampata,it-IT
Achievement: Bowmaster,Obiettivo: Maestria dell'arco,it-IT
Achievement: Challenger,Obiettivo: Competitività,it-IT
Achievement: Challenger II,Obiettivo: Competitività II,it-IT
Achievement: Challenger III,Obiettivo: Competitività III,it-IT
Achievement: Chasm,Obiettivo: Voragine,it-IT
Achievement: Cliffhanger,Obiettivo: Suspense,it-IT
Achievement: Colors of the Rainbow,Obiettivo: Colori dell'arcobaleno,it-IT
Achievement: Deep & Dark,Obiettivo: Segreti profondi,it-IT
Achievement: Endpoint,Obiettivo: Punto finale,it-IT
Achievement: Enigmatic Core,Obiettivo: Nucleo enigmatico,it-IT
Achievement: Explorer,Obiettivo: Esplorazione,it-IT
Achievement: Far-Sighted,Obiettivo: Lungimiranza,it-IT
Achievement: Fated Encounter,Obiettivo: Incontro predestinato,it-IT
Achievement: Feline Fortune,Obiettivo: Fortuna felina,it-IT
Achievement: Fighting Spirit,Obiettivo: Spirito combattivo,it-IT
Achievement: Full Bloom,Obiettivo: Piena fioritura,it-IT
Achievement: Gate,Obiettivo: Porta,it-IT
Achievement: Hero,Obiettivo: Eroismo,it-IT
Achievement: Hill Dwellers,Obiettivo: Abitanti delle colline,it-IT
Achievement: Infinitum,Obiettivo: Infinitum,it-IT
Achievement: Invoker,Obiettivo: Invokatore,it-IT
Achievement: Lord of the Night,Obiettivo: Signora della Notte,it-IT
Achievement: Mariner,Obiettivo: Marinaio,it-IT
Achievement: Mirrored Dreams,Obiettivo: Sogni specchiati,it-IT
Achievement: Nails,Obiettivo: Chiodi,it-IT
Achievement: Orbits,Obiettivo: Orbite,it-IT
Achievement: Perpetual,Obiettivo: Perpetuum,it-IT
Achievement: Poetic Pages,Obiettivo: Pagine poetiche,it-IT
Achievement: Repertoire,Obiettivo: Repertorio,it-IT
Achievement: Resplendence,Obiettivo: Splendore,it-IT
Achievement: Reunion,Obiettivo: Riunione,it-IT
Achievement: Roaming,Obiettivo: Viaggio,it-IT
Achievement: Seven Lights,Obiettivo: Sette luci,it-IT
Achievement: Snowy Land,Obiettivo: Terra della Neve,it-IT
Achievement: Snowy Summit,Obiettivo: Sommità innevata,it-IT
Achievement: Stone Dragon,Obiettivo: Drago di pietra,it-IT
Achievement: Tea Time,Obiettivo: Ora del tè,it-IT
Achievement: Thunderclap,Obiettivo: Tuono,it-IT
Achievement: Time Apart,Obiettivo: Separati dal tempo,it-IT
Achievement: Tranquil Peace,Obiettivo: Pace tranquilla,it-IT
Achievement: Transient Twilight,Obiettivo: Crepuscolo transiente,it-IT
Achievement: Traversal,Obiettivo: Traversata,it-IT
Achievement: Treading Snow,Obiettivo: Passi nella neve,it-IT
Achievement: Vacation Home,Obiettivo: Casa vacanze,it-IT
Achievement: Virtuoso,Obiettivo: Virtuosismo,it-IT
Achievement: Whalewrangler,Obiettivo: Cacciabalene,it-IT
Aino - Ai Da,Aino: Che papera!,it-IT
Aino - Aïe aïe canard,Aino: Che papera!,it-IT
Aino - Metiendo “el pato”,Aino: Che papera!,it-IT
Aino - หนูช่วยเย็นก่อนจิ,Aino: Che papera!,it-IT
