source,target,tgt_lng
核心旋律,Main Melody,en-US
フル,Main Melody,en-US
메인 멜로디,Main Melody,en-US
凯旋旋律,Victory Tune,en-US
サビ,Victory Tune,en-US
승리 멜로디,Victory Tune,en-US
凱旋旋律,Victory Tune,en-US
朝霭,Crisp Morning,en-US
朝靄,Crisp Morning,en-US
아침 안개,Crisp Morning,en-US
和煦,Sunny Breeze,en-US
長閑,Sunny Breeze,en-US
평온,Sunny Breeze,en-US
晚霞,Indigo Sunset,en-US
薄暮,Indigo Sunset,en-US
황혼,Indigo Sunset,en-US
粉梦,Pink Dream,en-US
儚雲,Pink Dream,en-US
분홍빛 꿈,Pink Dream,en-US
粉夢,Pink Dream,en-US
孤烟,Lonely Dunes,en-US
寒煙,Lonely Dunes,en-US
고독한 연기,Lonely Dunes,en-US
孤煙,Lonely Dunes,en-US
甘露,Sweet Creek,en-US
감로,Sweet Creek,en-US
希冀,Starlit Hope,en-US
希望,Starlit Hope,en-US
희망,Starlit Hope,en-US
归途,Homeward Path,en-US
帰路,Homeward Path,en-US
귀로,Homeward Path,en-US
歸途,Homeward Path,en-US
盛宴,Grand Feast,en-US
いただきま〜す,Grand Feast,en-US
성찬,Grand Feast,en-US
喧哗,Whoopla,en-US
敵役たちの日常,Whoopla,en-US
소란,Whoopla,en-US
喧嘩,Whoopla,en-US
极乐,Elysium,en-US
死出の舞踏会,Elysium,en-US
극락,Elysium,en-US
極樂,Elysium,en-US
情热,Flare Frenzy,en-US
情熱ステップ,Flare Frenzy,en-US
열정,Flare Frenzy,en-US
熱情,Flare Frenzy,en-US
吉光,Auspicious Glow,en-US
幸運の光,Auspicious Glow,en-US
상서로운 빛,Auspicious Glow,en-US
乘风,Brave the Wind,en-US
風に乗って,Brave the Wind,en-US
바람을 타고,Brave the Wind,en-US
乘風,Brave the Wind,en-US
泡沫,Bubbles,en-US
スローライフ,Bubbles,en-US
물거품,Bubbles,en-US
黯灭,Eclipse,en-US
闇に消える,Eclipse,en-US
검은 소멸,Eclipse,en-US
黯滅,Eclipse,en-US
坚韧,Fortitude,en-US
強靭,Fortitude,en-US
강인함,Fortitude,en-US
堅韌,Fortitude,en-US
柠柚好奇,Zesty Curiosity,en-US
爽やかな香り,Zesty Curiosity,en-US
레몬과 유자의 호기심,Zesty Curiosity,en-US
檸柚好奇,Zesty Curiosity,en-US
季节波形,Seasonal Waves,en-US
四季折々,Seasonal Waves,en-US
일렁이는 계절,Seasonal Waves,en-US
季節波形,Seasonal Waves,en-US
热夜的结束,Scorching Night's End,en-US
