source,target,tgt_lng
"""Acqua pura""",Agua pura,es-ES
"""Nước Mạnh""",Tónica fortalecedora,es-ES
"""Nước Tinh Khiết""",Agua pura,es-ES
"""Pure Water""",Agua pura,es-ES
"""Saf Su""",Agua pura,es-ES
"""Strength Tonic""",Tónica fortalecedora,es-ES
"""Água da Pureza""",Agua pura,es-ES
A Alegria de Narukami,Júbilo de Narukami,es-ES
A Coragem de Narukami,Valentía de Narukami,es-ES
Aberrant Core of the Deep Shadow,Núcleo aberrante de las profundidades insondables,es-ES
Aberranter Kern der tiefen Schatten,Núcleo aberrante de las profundidades insondables,es-ES
Abgebrochener Zahn des borealischen Wolfs,Colmillo roto de lobo boreal,es-ES
Abgelagerte Masse,Masa sedimentada,es-ES
Abgelagerte Wucherung,Acreción sedimentada,es-ES
Abgenutzte Bolzenspitze,Flecha veterana,es-ES
Abgrundlichtflosse,Aleta luzabisal,es-ES
Abzeichen für Offiziere,Insignia del oficial,es-ES
Abzeichen für Unteroffiziere,Insignia del sargento,es-ES
Accreted Growth,Acreción sedimentada,es-ES
Accreted Mass,Masa sedimentada,es-ES
Adalet Felsefesi,Filosofía de la justicia,es-ES
Adalet Rehberi,Guía de la justicia,es-ES
Addio dell'Imperatore del gelo,Adiós del emperador de la escarcha,es-ES
Adieu de l'empereur glacial,Adiós del emperador de la escarcha,es-ES
Adunata dell'esercito della Candida Stella,Congregación del ejército de la Estrella Albina,es-ES
Affection de Narukami,Afecto de Narukami,es-ES
Affetto di Narukami,Afecto de Narukami,es-ES
Afterglow of Long Night Flint,Destello del fuego de la larga noche,es-ES
Agent's Sacrificial Knife,Daga del agente,es-ES
Agnidus Agate Chunk,Trozo de ágata agnidus,es-ES
Agnidus Agate Fragment,Fragmento de ágata agnidus,es-ES
Agnidus Agate Gemstone,Ágata agnidus,es-ES
Agnidus Akiği Külçesi,Ágata agnidus,es-ES
Agnidus Akiği Kırıntısı,Fragmento de ágata agnidus,es-ES
Agnidus Akiği Parçası,Trozo de ágata agnidus,es-ES
Agnidus-Achat,Ágata agnidus,es-ES
Agnidus-Achat-Brocken,Trozo de ágata agnidus,es-ES
Agnidus-Achat-Bruchstück,Fragmento de ágata agnidus,es-ES
Aileron lunaire,Aleta lunar,es-ES
Aileron ténébreux,Aleta luzabisal,es-ES
Ajanın Klasik Cep Saati,Reloj de bolsillo estándar de Senescal,es-ES
Ajanın Vefası,Asiduidad de Senescal,es-ES
Akkor Yem,Cebo cálido,es-ES
Akıntı Özütü,Aceite esencial de torrente,es-ES
Alaca Kristal,Cristalización cromática,es-ES
Albero di trasmissione di precisione,Eje refinado,es-ES
Albero di trasmissione rinforzato,Eje reforzado,es-ES
Aletta Baratroluce,Aleta luzabisal,es-ES
Aletta lunare,Aleta lunar,es-ES
Alev Özütü,Aceite esencial de llamas ardientes,es-ES
Alevli Fedakar Kalbin Kararlılığı,Determinación del corazón sacrificial ardiente,es-ES
Alevli Fedakar Kalbin Çekincesi,Indecisión del corazón sacrificial ardiente,es-ES
Alevli Fedakar Kalbin İhtişamı,Honor del corazón sacrificial ardiente,es-ES
Alevli Göz,Ojo vigía ignífero,es-ES
Alevli Prizma Kabuğu,Fragmento de caparazón prismaflamígero,es-ES
Alevli Yaşam Tohumu,Semilla vital ignífera,es-ES
Alien Life Core,Núcleo vital de otro mundo,es-ES
Alternação das Nuvens e o Mar,Perdigones primordiales,es-ES
Altın Ev Hanımı Özütü,Aceite esencial de doncella de la casa dorada,es-ES
Altın Felsefesi,Filosofía del oro,es-ES
Altın Kuzgun Nişanı,Insignia de cuervo dorada,es-ES
Altın Rehberi,Guía del oro,es-ES
Amplificação de Acreção,Acreción sedimentada,es-ES
Anemoculus Resonance Stone,Roca de resonancia de anemóculus,es-ES
Anemoculus-Resonanzstein,Roca de resonancia de anemóculus,es-ES
Angereichertes Harz,Resina concentrada,es-ES
Anleitung zum „Elysium“,Guía del paraíso,es-ES
Anleitung zum „Fleiß“,Guía del esfuerzo,es-ES
Anleitung zum „Gold“,Guía del oro,es-ES
Anleitung zum „Licht“,Guía de la luz,es-ES
Anleitung zum „Mondlicht“,Guía de la luz lunar,es-ES
Anleitung zum „Ruhm“,Guía de la gloria,es-ES
Anleitung zum „Wettstreit“,Guía de la contienda,es-ES
Anleitung zum „Widerstand“,Guía de la resistencia,es-ES
Anleitung zum „Wohlstand“,Guía de la prosperidad,es-ES
Anleitung zur „Beharrlichkeit“,Guía de la tenacidad,es-ES
Anleitung zur „Eleganz“,Guía de la elegancia,es-ES
Anleitung zur „Ermahnung“,Guía de la exhortación,es-ES
Anleitung zur „Fairness“,Guía de la ecuanimidad,es-ES
Anleitung zur „Findigkeit“,Guía del ingenio,es-ES
Anleitung zur „Freiheit“,Guía de la libertad,es-ES
Anleitung zur „Gerechtigkeit“,Guía de la justicia,es-ES
Anleitung zur „Güte“,Guía del amor,es-ES
Anleitung zur „Ordnung“,Guía del orden,es-ES
Anleitung zur „Poesie“,Guía de la poesía,es-ES
Anleitung zur „Praxis“,Guía de la praxis,es-ES
Anleitung zur „Verbrennung“,Guía de las brasas,es-ES
Anleitung zur „Vergänglichkeit“,Guía de la transitoriedad,es-ES
Anleitung zur „Wanderschaft“,Guía de la errancia,es-ES
Anleitung zur „Zwietracht“,Guía del conflicto,es-ES
Antlitz des wahnsinnigen Fürsten,Máscara divina del Sagrado Señor delirante,es-ES
Apito Dourado do Guerreiro de Coroa Sauriana,Silbato de oro del soldado sauriocoronado,es-ES
Apito de Metal do Guerreiro,Silbato de hierro del guerrero,es-ES
Appât aigre,Cebo cítrico,es-ES
Appât braiserine,Cebo cálido,es-ES
Appât clignotant,Cebo parpadeante de mecarreparadores,es-ES
Appât de baie,Cebo de bellota,es-ES
Appât de pâte de fruit,Cebo afrutado,es-ES
Appât de rosée,Cebo maná,es-ES
Appât fétide,Cebo de sangre,es-ES
Appât granispinelle,Cebo espimahís,es-ES
Appât scintillant,Cebo centelleante,es-ES
Appât-lakka,Cebo inmaculado,es-ES
Arbre de transmission raffiné,Eje refinado,es-ES
Arbre de transmission renforcé,Eje reforzado,es-ES
Argent karstique,Perdigones de oro,es-ES
Artful Device Inheritance,Legado del instrumento misterioso,es-ES
Artful Device Replica,Réplica del instrumento misterioso,es-ES
Artful Device Wish,Aspiración del instrumento misterioso,es-ES
Artificed Dynamic Gear,Engranaje mecadinámico,es-ES
Artiglio affilato nascosto,Garra afilada oculta,es-ES
Artiglio di bestia nascosto,Garra fantasmal oculta,es-ES
Asal Kimerik Düğüm,Organismo quimérico primigenio,es-ES
Aspecto do Santo Delirante,Esplendor del Sagrado Señor delirante,es-ES
Aspetto delirante del Sacro Signore,Esplendor del Sagrado Señor delirante,es-ES
Aspirazione del Gladiatore dei denti di leone,Ideales de Diente de León,es-ES
Asse del caos,Eje del caos,es-ES
Ateş Direnci İksiri,Poción de resistencia térmica,es-ES
Ateş Özü Rezonans Taşı,Roca de resonancia de pyróculus,es-ES
Attitude délirante du seigneur sacré,Esplendor del Sagrado Señor delirante,es-ES
Augure mystique du vent nocturne,Presagio espiritista vientonocturno,es-ES
Aureate Radiance of the Far-North Scions,Refulgencia de los Hijos del Lejano Norte,es-ES
Ausgelassenheit des eingelagerten spirituellen Nektars,Capricho del néctar espiritual de la bodega,es-ES
Ausgereifter kräftiger Zahn,Colmillo veterano,es-ES
Auspicio mistico del Vento della Notte,Presagio espiritista vientonocturno,es-ES
Außerweltliche Synapse,Sinapsis extrínseca,es-ES
Außerweltlicher Lebenskern,Núcleo vital de otro mundo,es-ES
Avarelik Felsefesi,Filosofía de la errancia,es-ES
Avarelik Rehberi,Guía de la errancia,es-ES
Axe du chaos,Eje del caos,es-ES
Ay Işığı Felsefesi,Filosofía de la luz lunar,es-ES
Ay Işığı Rehberi,Guía de la luz lunar,es-ES
Ay Işığı Sırt Tüyü,Aleta lunar,es-ES
Ayaz Özütü,Aceite esencial de escarcha,es-ES
Ayaz İmparatorunun Ağıdı,Compasión del emperador de la escarcha,es-ES
Ayaz İmparatorunun Töreni,Ceremonia del emperador de la escarcha,es-ES
Ayaz İmparatorunun Vedası,Adiós del emperador de la escarcha,es-ES
Ayrık Kabza,Empuñadura hendida,es-ES
Bagliore della Notte gelata,Resplandor de la noche escarchada,es-ES
Bagliore della Selce della Lunga notte,Llama del fuego de la larga noche,es-ES
Baldoria del nettare spirituale invecchiato,Capricho del néctar espiritual de la bodega,es-ES
Bec crochu des fonds,Pico de las profundidades insondables,es-ES
Becco uncinato dell'ombra profonda,Pico de las profundidades insondables,es-ES
Benevolenza del giardino dell'oasi,Gracia del oasis exuberante,es-ES
Berry Bait,Cebo de bellota,es-ES
Berühmter Handschutz,Guardamano célebre,es-ES
Beständigkeit der Dienerin,Asiduidad de Senescal,es-ES
Bewildering Broadleaf,Hoja desconcertante,es-ES
Bi Thương Của Hoàng Đế Băng Giá,Compasión del emperador de la escarcha,es-ES
Bico da Sombra Profunda,Pico de las profundidades insondables,es-ES
Bit of Aerosiderite,Fragmento de siderita oscura,es-ES
Biểu Tượng Ý Chí Ngao Du,Sello de voluntad patrullera,es-ES
Black Bronze Horn,Cuerno de bronce negro,es-ES
Black Crystal Horn,Cuerno con cristal negro,es-ES
Blaue Farbe,Tinte azul,es-ES
Blaze of Long Night Flint,Ardor del fuego de la larga noche,es-ES
Blazing Prismshell,Fragmento de caparazón prismaflamígero,es-ES
Blazing Sacrificial Heart's Hesitance,Indecisión del corazón sacrificial ardiente,es-ES
Blazing Sacrificial Heart's Resolve,Determinación del corazón sacrificial ardiente,es-ES
Blazing Sacrificial Heart's Splendor,Honor del corazón sacrificial ardiente,es-ES
Bloco de Aerosiderite,Trozo de siderita oscura,es-ES
Blue Dye,Tinte azul,es-ES
Blühende Blume eines Nomaden,Flor floreciente del trashumante,es-ES
Bodurlop Salgıları,Babas de Slime,es-ES
Bomba Flutuante,Bomba flotante,es-ES
Bomba Precisa,Bomba de precisión,es-ES
Bomba Queimante,Bomba calcinadora,es-ES
Bomba calcinatrice,Bomba calcinadora,es-ES
Bomba esplosiva,Bomba flotante,es-ES
Bomba precisa,Bomba de precisión,es-ES
Bombe brûlante,Bomba calcinadora,es-ES
Bombe directe,Bomba de precisión,es-ES
Bombe explosive,Bomba flotante,es-ES
Boreal Wolf's Broken Fang,Colmillo roto de lobo boreal,es-ES
Boreal Wolf's Cracked Tooth,Diente roto de lobo boreal,es-ES
Boreal Wolf's Nostalgia,Nostalgia del lobo boreal,es-ES
Bourgeon de vie,Nexo de brote vital,es-ES
Branche marine d'or,Rama dorada del mar distante,es-ES
Branche marine de gemme,Rama enjoyada del mar distante,es-ES
Branche marine de jade,Rama de jade del mar distante,es-ES
Brandbombe,Bomba calcinadora,es-ES
Brilho Remanescente do Poder Escaldante,Resplandor del poder del sol,es-ES
Brilho Residual da Noite Eterna,Destello del fuego de la larga noche,es-ES
Brillance de givrenuit,Resplandor de la noche escarchada,es-ES
Brocart rouge luxueux,Brocado rojo lujoso,es-ES
Broccato rosso sontuoso,Brocado rojo lujoso,es-ES
Brocken pechschwarzer Aerosiderit,Trozo de siderita oscura,es-ES
Broto de Linha Ley,Brotes de líneas ley,es-ES
Bruchstück einer archaischen Serenade,Pieza de serenata arcaica,es-ES
Bulanık Prizma,Prisma enturbiado,es-ES
Bullone del caos,Perno del caos,es-ES
Buz Direnci İksiri,Poción anticongelante,es-ES
Bánh Răng Chính,Mecaengranaje recto,es-ES
Bánh Răng Lõi Trung Tâm,Engranaje mecadinámico,es-ES
Bình Nước Đục,Cúmulo de légamo,es-ES
Böğürtlen Yemi,Cebo de bellota,es-ES
Bùa Rừng Xanh Sương Đọng - Bạc,Talismán de plata del rocío,es-ES
Bùa Rừng Xanh Sương Đọng - Sắt,Talismán de metal del rocío,es-ES
Bùa Rừng Xanh Sương Đọng - Vàng,Talismán de oro del rocío,es-ES
Büyüleyici Geniş Yaprak,Hoja desconcertante,es-ES
Büyümüş Kitle,Acreción sedimentada,es-ES
Băng Đỏ Viền Vàng,Seda roja bordada,es-ES
Băng Đỏ Ánh Vàng,Brocado rojo lujoso,es-ES
