id,term,src_table
AffinityLevel.2068.1,영혼단짝,AffinityLevel.json
BoardNPC.173174.1,베르너&베르주,BoardNPC.json
BoardNPC.713503.1,발렌타인 미스티,BoardNPC.json
BoardNPC.9102.1,윌로,BoardNPC.json
BoardNPC.9131.1,블롯치,BoardNPC.json
BoardNPC.9159.1,카나타,BoardNPC.json
BoardNPC.916402.1,이오리,BoardNPC.json
Character.103.1,코하쿠,Character.json
Character.107.1,틸리아,Character.json
Character.108.1,카시미라,Character.json
Character.110.1,피렌,Character.json
Character.111.1,아야메,Character.json
Character.112.1,세이나,Character.json
Character.113.1,시먀오,Character.json
Character.114.1,샤통,Character.json
Character.115.1,호타루,Character.json
Character.116.1,레이센,Character.json
Character.117.1,징린,Character.json
Character.118.1,크루니스,Character.json
Character.119.1,나노하,Character.json
Character.120.1,카나체,Character.json
Character.123.1,안즈,Character.json
Character.125.1,프리지아,Character.json
Character.126.1,플로라,Character.json
Character.127.1,테레사,Character.json
Character.130.1,토나,Character.json
Character.132.1,미네르바,Character.json
Character.133.1,나츠카,Character.json
Character.134.1,후유카,Character.json
Character.135.1,미스티,Character.json
Character.137.1,엘레노어,Character.json
Character.140.1,스파클,Character.json
Character.141.1,치시아,Character.json
Character.142.1,코제트,Character.json
Character.143.1,레이스,Character.json
Character.144.1,치토세,Character.json
Character.145.1,오토하,Character.json
Character.147.1,캐러멜,Character.json
Character.149.1,그레이,Character.json
Character.150.1,라루,Character.json
Character.155.1,시아,Character.json
Character.156.1,나즈나,Character.json
Character.157.1,카린,Character.json
Character.158.1,라루(이브),Character.json
Character.159.1,크루니스(새해),Character.json
Character.160.1,윌로(여름),Character.json
CharacterArchiveBaseInfo.10301.1,이름,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10302.1,생일,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10303.1,소속,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10304.1,스킬,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10305.1,주소,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10306.1,경력,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10307.1,무기,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.10308.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11008.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11408.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.11908.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.12608.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.13008.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14008.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14108.1,급여,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14301.1,이름,CharacterArchiveBaseInfo.json
CharacterArchiveBaseInfo.14508.1,급여,CharacterArchiveBaseInfo.json
CharacterDes.103.1,Si Bai,CharacterDes.json
CharacterDes.107.1,Chen Yu,CharacterDes.json
CharacterDes.108.1,Li Chanfei,CharacterDes.json
CharacterDes.110.1,Zi Yin,CharacterDes.json
CharacterDes.111.1,Chen Zhang,CharacterDes.json
CharacterDes.112.1,Kiyo,CharacterDes.json
CharacterDes.113.1,Chen Yang,CharacterDes.json
CharacterDes.114.1,Raby,CharacterDes.json
CharacterDes.115.1,Liu Wen,CharacterDes.json
CharacterDes.116.1,Zhang Kaixuan,CharacterDes.json
CharacterDes.117.1,Han Jiaojiao,CharacterDes.json
CharacterDes.118.1,Zhou Yuhan,CharacterDes.json
CharacterDes.119.1,Dou Nai,CharacterDes.json
CharacterDes.120.1,Liang Shuang,CharacterDes.json
CharacterDes.123.1,Jing Chen,CharacterDes.json
CharacterDes.125.1,Zhang Ye,CharacterDes.json
CharacterDes.126.1,Mu Fei,CharacterDes.json
CharacterDes.127.1,Jing Liu,CharacterDes.json
CharacterDes.130.1,Su Wan,CharacterDes.json
CharacterDes.132.1,Yang Qingjiang,CharacterDes.json
CharacterDes.133.1,Liu Shisi,CharacterDes.json
CharacterDes.134.1,Liu Yilei,CharacterDes.json
CharacterDes.135.1,Wu Zheru,CharacterDes.json
CharacterDes.137.1,Shi Conghao,CharacterDes.json
CharacterDes.140.1,Song Zhengnan,CharacterDes.json
CharacterDes.141.1,Tang Xiafang,CharacterDes.json
CharacterDes.142.1,Tang Meng,CharacterDes.json
CharacterDes.143.1,Wang Meixin,CharacterDes.json
CharacterDes.144.1,Zhang Mengjiao,CharacterDes.json
CharacterDes.145.1,Zhang Anqi,CharacterDes.json
CharacterDes.147.1,Cai Shujin,CharacterDes.json
CharacterDes.150.1,Song Yuanyuan,CharacterDes.json
CharacterDes.155.1,Vila,CharacterDes.json
CharacterDes.156.1,Xie Ying,CharacterDes.json
CharacterDes.157.1,카린,CharacterDes.json
CharacterDes.160.1,mace,CharacterDes.json
CharacterSkin.10301.1,코하쿠-기본,CharacterSkin.json
CharacterSkin.10302.1,코하쿠-각성,CharacterSkin.json
CharacterSkin.10303.1,어흥냥이,CharacterSkin.json
CharacterSkin.10304.1,느긋한 여름의 초대장,CharacterSkin.json
