source,target,tgt_lng
Aletler ve Araçlar,Ferramentas e utilidades,pt-BR
Attrezzi e utilità,Ferramentas e utilidades,pt-BR
Barras de objetos guardadas,Barras rápidas salvas,pt-BR
Barre rapide salvate,Barras rápidas salvas,pt-BR
Barres d'action sauvegardées,Barras rápidas salvas,pt-BR
Baublöcke,Blocos de construção,pt-BR
Blocchi colorati,Blocos coloridos,pt-BR
Blocchi da costruzione,Blocos de construção,pt-BR
Blocchi funzionali,Blocos funcionais,pt-BR
Blocchi naturali,Blocos naturais,pt-BR
Blocs colorés,Blocos coloridos,pt-BR
Blocs de construction,Blocos de construção,pt-BR
Blocs fonctionnels,Blocos funcionais,pt-BR
Blocs naturels,Blocos naturais,pt-BR
Bloques de colores,Blocos coloridos,pt-BR
Bloques de construcción,Blocos de construção,pt-BR
Bloques funcionales,Blocos funcionais,pt-BR
Bloques naturales,Blocos naturais,pt-BR
Building Blocks,Blocos de construção,pt-BR
Búsqueda,Buscar itens,pt-BR
Cerca...,Buscar itens,pt-BR
Chiến đấu,Combate,pt-BR
Chế tạo,Fabricação,pt-BR
Cibi e bevande,Alimentos e bebidas,pt-BR
Colored Blocks,Blocos coloridos,pt-BR
Combat,Combate,pt-BR
Combattimento,Combate,pt-BR
Comida y bebida,Alimentos e bebidas,pt-BR
Consommables,Consumíveis,pt-BR
Consumabili,Consumíveis,pt-BR
Consumables,Consumíveis,pt-BR
Consumibles,Consumíveis,pt-BR
Crafting,Fabricação,pt-BR
Criaturas,Ovos geradores,pt-BR
Công cụ & tiện ích,Ferramentas e utilidades,pt-BR
Doğal Bloklar,Blocos naturais,pt-BR
Eşya Ara,Buscar itens,pt-BR
Fabbricazione,Fabricação,pt-BR
Fabrication,Fabricação,pt-BR
Farbige Blöcke,Blocos coloridos,pt-BR
Food & Drinks,Alimentos e bebidas,pt-BR
Functional Blocks,Blocos funcionais,pt-BR
Gebrauchsblöcke,Blocos funcionais,pt-BR
Gespeicherte Schnellzugriffsleisten,Barras rápidas salvas,pt-BR
Hayatta Kalma Envanteri,Inventário de Sobrevivência,pt-BR
Herramientas de admin.,Blocos de operador,pt-BR
Herramientas y útiles,Ferramentas e utilidades,pt-BR
Ingredienti,Ingredientes,pt-BR
Ingredients,Ingredientes,pt-BR
Ingrédients,Ingredientes,pt-BR
Inventaire du mode Survie,Inventário de Sobrevivência,pt-BR
Inventario,Inventário de Sobrevivência,pt-BR
Inventario de supervivencia,Inventário de Sobrevivência,pt-BR
İnşaat Blokları,Blocos de construção,pt-BR
İşlevsel Bloklar,Blocos funcionais,pt-BR
Kampf,Combate,pt-BR
Kaydedilen Araç Çubukları,Barras rápidas salvas,pt-BR
Khối chức năng,Blocos funcionais,pt-BR
Khối màu sắc,Blocos coloridos,pt-BR
Khối Redstone,Blocos de Redstone,pt-BR
Khối tự nhiên,Blocos naturais,pt-BR
Khối xây dựng,Blocos de construção,pt-BR
Malzemeler,Ingredientes,pt-BR
Materiales,Fabricação,pt-BR
Nahrungsmittel & Tränke,Alimentos e bebidas,pt-BR
Nahrungsmittel & Tränke,Consumíveis,pt-BR
Natural Blocks,Blocos naturais,pt-BR
Naturblöcke,Blocos naturais,pt-BR
Nguyên liệu,Ingredientes,pt-BR
Nourriture et boissons,Alimentos e bebidas,pt-BR
Operator Utilities,Blocos de operador,pt-BR
Operatorhilfsmittel,Blocos de operador,pt-BR
Outils et utilitaires,Ferramentas e utilidades,pt-BR
Rechercher,Buscar itens,pt-BR
Redstone,Blocos de Redstone,pt-BR
Redstone Blocks,Blocos de Redstone,pt-BR
Redstone Blokları,Blocos de Redstone,pt-BR
Renkli Bloklar,Blocos coloridos,pt-BR
Saldırı,Combate,pt-BR
Saved Hotbars,Barras rápidas salvas,pt-BR
Search Items,Buscar itens,pt-BR
Spawn Eggs,Ovos geradores,pt-BR
Spawn‐Eier,Ovos geradores,pt-BR
Suche,Buscar itens,pt-BR
Survival Inventory,Inventário de Sobrevivência,pt-BR
Thanh nóng đã lưu,Barras rápidas salvas,pt-BR
Thực phẩm & đồ uống,Alimentos e bebidas,pt-BR
Tiện ích người điều hành,Blocos de operador,pt-BR
Tools & Utilities,Ferramentas e utilidades,pt-BR
Trứng sinh ra,Ovos geradores,pt-BR
Tìm vật phẩm,Buscar itens,pt-BR
Túi đồ chế độ sinh tồn,Inventário de Sobrevivência,pt-BR
Tüketilebilirler,Consumíveis,pt-BR
Uova generatrici,Ovos geradores,pt-BR
Utilitaires d'opérateur,Blocos de operador,pt-BR
Utilità per operatori,Blocos de operador,pt-BR
Vật phẩm tiêu thụ,Consumíveis,pt-BR
Werkstoffe,Fabricação,pt-BR
Werkstoffe,Ingredientes,pt-BR
Werkzeuge & Hilfsmittel,Ferramentas e utilidades,pt-BR
Yiyecek ve İçecekler,Alimentos e bebidas,pt-BR
Yönetici Araçları,Blocos de operador,pt-BR
Çağırma Yumurtaları,Ovos geradores,pt-BR
Überlebensinventar,Inventário de Sobrevivência,pt-BR
Üretim,Fabricação,pt-BR
Œufs d'apparition,Ovos geradores,pt-BR
Еда и напитки,Alimentos e bebidas,pt-BR
Еда и напитки,Consumíveis,pt-BR
Инвентарь выживания,Inventário de Sobrevivência,pt-BR
Ингредиенты,Ingredientes,pt-BR
Инструменты и приспособления,Ferramentas e utilidades,pt-BR
Инструменты оператора,Blocos de operador,pt-BR
Оружие и доспехи,Combate,pt-BR
Поиск,Buscar itens,pt-BR
Природные блоки,Blocos naturais,pt-BR
Разноцветные блоки,Blocos coloridos,pt-BR
Редстоун-механика,Blocos de Redstone,pt-BR
Создание,Fabricação,pt-BR
Сохранённые инструменты,Barras rápidas salvas,pt-BR
Строительные блоки,Blocos de construção,pt-BR
Функциональные блоки,Blocos funcionais,pt-BR
Яйца призыва,Ovos geradores,pt-BR
การต่อสู้,Combate,pt-BR
ค้นหาไอเทม,Buscar itens,pt-BR
ช่องเก็บของเอาชีวิตรอด,Inventário de Sobrevivência,pt-BR
บล็อกก่อสร้าง,Blocos de construção,pt-BR
บล็อกธรรมชาติ,Blocos naturais,pt-BR
บล็อกฟังก์ชัน,Blocos funcionais,pt-BR
บล็อกสี,Blocos coloridos,pt-BR
บล็อกเรดสโตน,Blocos de Redstone,pt-BR
วัตถุดิบ,Ingredientes,pt-BR
สิ่งที่คราฟต์ขึ้น,Fabricação,pt-BR
สิ่งบริโภค,Consumíveis,pt-BR
สิ่งอำนวยประโยชน์แก่ผู้ควบคุม,Blocos de operador,pt-BR
อาหารและเครื่องดื่ม,Alimentos e bebidas,pt-BR
เครื่องมือและสิ่งอำนวยประโยชน์,Ferramentas e utilidades,pt-BR
แถบลัดที่บันทึกไว้,Barras rápidas salvas,pt-BR
ไข่เกิด,Ovos geradores,pt-BR
アイテム検索,Buscar itens,pt-BR
クラフト,Fabricação,pt-BR
サバイバルインベントリ,Inventário de Sobrevivência,pt-BR
スポーンエッグ,Ovos geradores,pt-BR
レッドストーン系ブロック,Blocos de Redstone,pt-BR
保存したホットバー,Barras rápidas salvas,pt-BR
刷怪蛋,Ovos geradores,pt-BR
功能方块,Blocos funcionais,pt-BR
功能方塊,Blocos funcionais,pt-BR
原材料,Ingredientes,pt-BR
合成用品,Fabricação,pt-BR
天然ブロック,Blocos naturais,pt-BR
工具与实用物品,Ferramentas e utilidades,pt-BR
工具及實用物品,Ferramentas e utilidades,pt-BR
已保存的快捷栏,Barras rápidas salvas,pt-BR
已儲存的快捷欄,Barras rápidas salvas,pt-BR
建筑方块,Blocos de construção,pt-BR
建築ブロック,Blocos de construção,pt-BR
建築方塊,Blocos de construção,pt-BR
战斗用品,Combate,pt-BR
戦闘,Combate,pt-BR
戰鬥,Combate,pt-BR
搜尋物品,Buscar itens,pt-BR
搜索物品,Buscar itens,pt-BR
材料,Ingredientes,pt-BR
染色方块,Blocos coloridos,pt-BR
染色方塊,Blocos coloridos,pt-BR
機能的ブロック,Blocos funcionais,pt-BR
消耗品,Consumíveis,pt-BR
生存模式物品栏,Inventário de Sobrevivência,pt-BR
生存模式物品欄,Inventário de Sobrevivência,pt-BR
生怪蛋,Ovos geradores,pt-BR
管理员用品,Blocos de operador,pt-BR
管理員實用物品,Blocos de operador,pt-BR
管理者用アイテム,Blocos de operador,pt-BR
紅石方塊,Blocos de Redstone,pt-BR
红石方块,Blocos de Redstone,pt-BR
自然方块,Blocos naturais,pt-BR
自然方塊,Blocos naturais,pt-BR
色付きブロック,Blocos coloridos,pt-BR
道具と実用品,Ferramentas e utilidades,pt-BR
食べ物と飲み物,Alimentos e bebidas,pt-BR
食物与饮品,Alimentos e bebidas,pt-BR
食物及飲品,Alimentos e bebidas,pt-BR
건축 블록,Blocos de construção,pt-BR
관리자 도구,Blocos de operador,pt-BR
기능 블록,Blocos funcionais,pt-BR
도구 및 유용한 물건,Ferramentas e utilidades,pt-BR
레드스톤 블록,Blocos de Redstone,pt-BR
색깔 블록,Blocos coloridos,pt-BR
생성 알,Ovos geradores,pt-BR
서바이벌 보관함,Inventário de Sobrevivência,pt-BR
아이템 검색,Buscar itens,pt-BR
음식 및 물약,Consumíveis,pt-BR
음식 및 음료,Alimentos e bebidas,pt-BR
자연 블록,Blocos naturais,pt-BR
재료,Ingredientes,pt-BR
저장된 단축 바,Barras rápidas salvas,pt-BR
전투,Combate,pt-BR
제작,Fabricação,pt-BR
