source,target,tgt_lng
Bard's Arrow Feather,琴师的箭羽,zh-CN
Berserker's Battle Mask,战狂的鬼面,zh-CN
Berserker's Bone Goblet,战狂的骨杯,zh-CN
Berserker's Indigo Feather,战狂的翎羽,zh-CN
Berserker's Rose,战狂的蔷薇,zh-CN
Berserker's Timepiece,战狂的时计,zh-CN
Bloodstained Black Plume,染血的黑之羽,zh-CN
Bloodstained Chevalier's Goblet,染血的骑士之杯,zh-CN
Bloodstained Final Hour,骑士染血之时,zh-CN
Bloodstained Flower of Iron,染血的铁之心,zh-CN
Bloodstained Iron Mask,染血的铁假面,zh-CN
Ceremonial War-Plume,昭武翎羽,zh-CN
Circle of Embers,焚尽之环,zh-CN
Concert's Final Hour,终幕的时计,zh-CN
Copper Compass,坚铜罗盘,zh-CN
Crown of the Brave,勇士的冠冕,zh-CN
Dance of Steel,钢铁之舞,zh-CN
Duel to the Fiery Death,红莲的真剑试合,zh-CN
Earthshaking Dragon,摇撼山岳之龙,zh-CN
Elegaic Rime,告死之霜,zh-CN
Exile's Feather,流放者之羽,zh-CN
Exile's Flower,流放者之花,zh-CN
Exile's Goblet,流放者之杯,zh-CN
Exile's Pocket Watch,流放者怀表,zh-CN
Feather of Jagged Peaks,嵯峨群峰之翼,zh-CN
Fires of Purification,净化之炎,zh-CN
Flower of Accolades,勋绩之花,zh-CN
Flower of Creviced Cliff,磐陀裂生之花,zh-CN
Frost,寒霜,zh-CN
Frost-Weaved Dignity,遍结寒霜的傲骨,zh-CN
Frozen Homeland's Demise,冰雪故园的终期,zh-CN
Gilded Corsage,饰金胸花,zh-CN
Gladiator's Destiny,角斗士的归宿,zh-CN
Gladiator's Intoxication,角斗士的酣醉,zh-CN
Gladiator's Longing,角斗士的希冀,zh-CN
Gladiator's Nostalgia,角斗士的留恋,zh-CN
Goblet of Chiseled Crag,巉岩琢塑之樽,zh-CN
Goblet of Thundering Deep,沉波之盏,zh-CN
Gust of Nostalgia,追忆之风,zh-CN
Hopeful Heart,祈望之心,zh-CN
Hour of Soothing Thunder,平雷之刻,zh-CN
Hourglass of Thunder,雷霆的时计,zh-CN
Icebreaker's Resolve,摧冰而行的执望,zh-CN
In Remembrance of Viridescent Fields,野花记忆的绿野,zh-CN
Instructor's Brooch,教官的胸花,zh-CN
Instructor's Feather Accessory,教官的羽饰,zh-CN
Instructor's Pocket Watch,教官的怀表,zh-CN
Instructor's Tea Cup,教官的茶杯,zh-CN
Lavawalker's Epiphany,渡火者的醒悟,zh-CN
Lavawalker's Resolution,渡火者的决绝,zh-CN
Lavawalker's Salvation,渡火者的解脱,zh-CN
Lavawalker's Torment,渡火者的煎熬,zh-CN
Lavawalker's Wisdom,渡火者的智慧,zh-CN
Lucky Encounter in the Clouds,云蒸奇遇记,zh-CN
Maiden's Distant Love,远方的少女之心,zh-CN
Maiden's Fleeting Leisure,少女片刻的闲暇,zh-CN
Maiden's Heart-stricken Infatuation,少女飘摇的思念,zh-CN
Maiden's Passing Youth,少女苦短的良辰,zh-CN
Martial Artist's Feather Accessory,武人的羽饰,zh-CN
Martial Artist's Wine Cup,武人的酒杯,zh-CN
Medal of the Brave,勇士的勋章,zh-CN
Memories: Guardian of Eternity,追忆：永恒的守护者,zh-CN
Mocking Mask,嗤笑之面,zh-CN
Moment of Cessation,停摆之刻,zh-CN
Morning Dew's Moment,朝露之时,zh-CN
Necropolis,骸馆,zh-CN
Noble's Pledging Vessel,盟誓金爵,zh-CN
Omen of Thunderstorm,降雷的凶兆,zh-CN
Orichalceous Time-Dial,金铜时晷,zh-CN
Outset of the Brave,勇士的壮行,zh-CN
Prospect of the Brave,勇士的期许,zh-CN
Realm of Slumber,沉睡之国,zh-CN
Reign of Violet,堇染之国,zh-CN
Royal Flora,宗室之花,zh-CN
Royal Plume,宗室之翎,zh-CN
Royal Pocket Watch,宗室时计,zh-CN
Royal Silver Urn,宗室银瓮,zh-CN
Ruins of Thirsting Capital,渴水的废都,zh-CN
Sand Burial,流沙之葬,zh-CN
Scarlet Vessel,绯花之壶,zh-CN
Scholar's Bookmark,学士的书签,zh-CN
Scholar's Clock,学士的时钟,zh-CN
Scholar's Ink Cup,学士的墨杯,zh-CN
Scholar's Lens,学士的镜片,zh-CN
Scholar's Quill Pen,学士的羽笔,zh-CN
Snowswept Memory,历经风雪的思念,zh-CN
Spring,惊蛰,zh-CN
Stainless Bloom,无垢之花,zh-CN
Stone Chamber,岩牢,zh-CN
Storm Cage,雷云之笼,zh-CN
Summer Night's Bloom,夏祭之花,zh-CN
Summer Night's Finale,夏祭终末,zh-CN
Summer Night's Mask,夏祭之面,zh-CN
Summer Night's Moment,夏祭之刻,zh-CN
Summer Night's Waterballoon,夏祭水玉,zh-CN
Sundered Feather,切落之羽,zh-CN
Sundial of Enduring Jade,星罗圭璧之晷,zh-CN
Surpassing Cup,超越之盏,zh-CN
Survivor of Catastrophe,雷灾的孑遗,zh-CN
Tarry Among the Peach Blossoms,桃源逗留记,zh-CN
Thunder Summoner's Crown,唤雷者的头冠,zh-CN
Thunderbird's Mercy,雷鸟的怜悯,zh-CN
Thundering Valley,初雷幽谷,zh-CN
Thundersoother's Diadem,平雷之冠,zh-CN
Thundersoother's Goblet,平雷之器,zh-CN
Thundersoother's Heart,平雷之心,zh-CN
Thundersoother's Plume,平雷之羽,zh-CN
Travels of the Moonlit Venturer,水月侠行记,zh-CN
Trial Grounds of Thunder,古雷试炼场,zh-CN
Troupe's Dawnlight,乐团的晨光,zh-CN
Tutelage: A Thousand Scrolls,稽古·千扉绘卷,zh-CN
Tutelage: Castle of Scrolls,稽古·御馆绘卷,zh-CN
Tutelage: King of Thieves,稽古·恶王亭,zh-CN
Tutelage: Nest-Bed of Ambition,稽古·砺伏之巢床,zh-CN
Tutelage: Umigozen's Mansion,稽古·御前府邸,zh-CN
Unyielding,不移,zh-CN
Vine-Infested Ruins,真葛废都,zh-CN
Viridescent Arrow Feather,猎人青翠的箭羽,zh-CN
Viridescent Venerer's Determination,翠绿猎人的笃定,zh-CN
Viridescent Venerer's Vessel,翠绿猎人的容器,zh-CN
Voyage to the Sanguine Sky,霞蔚征涛记,zh-CN
Wanderer's String-Kettle,吟游者之壶,zh-CN
Windy Cliff,风涌的高崖,zh-CN
Wise Doctor's Pinion,贤医之羽,zh-CN
Witch's End Time,魔女破灭之时,zh-CN
Witch's Ever-Burning Plume,魔女常燃之羽,zh-CN
Witch's Flower of Blaze,魔女的炎之花,zh-CN
Witch's Heart Flames,魔女的心之火,zh-CN
Witch's Scorching Hat,焦灼的魔女帽子,zh-CN
フィナーレの時計,终幕的时计,zh-CN
不動,不移,zh-CN
亡命者のコップ,流放者之杯,zh-CN
亡命者の懐中時計,流放者怀表,zh-CN
亡命者の羽根,流放者之羽,zh-CN
亡命者の花,流放者之花,zh-CN
偉勲の花,勋绩之花,zh-CN
停擺之刻,停摆之刻,zh-CN
停頓の時,停摆之刻,zh-CN
冰雪故園的終期,冰雪故园的终期,zh-CN
切落の羽,切落之羽,zh-CN
初雷の幽谷,初雷幽谷,zh-CN
剣闘士の希望,角斗士的希冀,zh-CN
剣闘士の帰着,角斗士的归宿,zh-CN
剣闘士の未練,角斗士的留恋,zh-CN
剣闘士の酩酊,角斗士的酣醉,zh-CN
勇士の冠,勇士的冠冕,zh-CN
勇士の勲章,勇士的勋章,zh-CN
勇士の壮行,勇士的壮行,zh-CN
勇士の期待,勇士的期许,zh-CN
勇士的勳章,勇士的勋章,zh-CN
勇士的壯行,勇士的壮行,zh-CN
勇士的期許,勇士的期许,zh-CN
勳績之花,勋绩之花,zh-CN
危岩磐石の杯,巉岩琢塑之樽,zh-CN
古雷試煉場,古雷试炼场,zh-CN
吟遊者の水筒,吟游者之壶,zh-CN
吟遊者之壺,吟游者之壶,zh-CN
吹雪の中の思い,历经风雪的思念,zh-CN
啓蟄,惊蛰,zh-CN
喚雷者的頭冠,唤雷者的头冠,zh-CN
嗤笑の面,嗤笑之面,zh-CN
堅い銅のコンパス,坚铜罗盘,zh-CN
堅銅羅盤,坚铜罗盘,zh-CN
堇染之國,堇染之国,zh-CN
夏祭りの仮面,夏祭之面,zh-CN
夏祭りの刻,夏祭之刻,zh-CN
夏祭りの水風船,夏祭水玉,zh-CN
