source,target,tgt_lng
启动石碎片,啟動石碎片,zh-TW
キーストーンのカケラ,啟動石碎片,zh-TW
Keystone Piece,啟動石碎片,zh-TW
기동석 조각,啟動石碎片,zh-TW
เศษคีย์สโตน,啟動石碎片,zh-TW
加速券,加成券,zh-TW
ブースターチケット,加成券,zh-TW
Booster Ticket,加成券,zh-TW
부스터 티켓,加成券,zh-TW
ตั๋วเร่งเวลา,加成券,zh-TW
启动石,啟動石,zh-TW
キーストーン,啟動石,zh-TW
Keystone,啟動石,zh-TW
기동석,啟動石,zh-TW
คีย์สโตน,啟動石,zh-TW
总力战硬币,總力戰硬幣,zh-TW
総力戦コイン,總力戰硬幣,zh-TW
Total Assault Coin,總力戰硬幣,zh-TW
총력전 코인,總力戰硬幣,zh-TW
เหรียญเรดบอส,總力戰硬幣,zh-TW
战术硬币,戰術硬幣,zh-TW
戦術コイン,戰術硬幣,zh-TW
Tactical Challenge Coin,戰術硬幣,zh-TW
전술 대회 코인,戰術硬幣,zh-TW
เหรียญอารีน่า,戰術硬幣,zh-TW
稀有总力战硬币,高級總力戰硬幣,zh-TW
総力戦レアコイン,高級總力戰硬幣,zh-TW
Advanced Total Assault Coin,高級總力戰硬幣,zh-TW
상급 총력전 코인,高級總力戰硬幣,zh-TW
เหรียญเรดบอสขั้นสูง,高級總力戰硬幣,zh-TW
初级活动报告,初級活動報告,zh-TW
初級レポート,初級活動報告,zh-TW
Novice Activity Report,初級活動報告,zh-TW
초급 활동 보고서,初級活動報告,zh-TW
รายงานขั้นต่ำ,初級活動報告,zh-TW
中级活动报告,一般活動報告,zh-TW
中級レポート,一般活動報告,zh-TW
Normal Activity Report,一般活動報告,zh-TW
일반 활동 보고서,一般活動報告,zh-TW
รายงานขั้นกลาง,一般活動報告,zh-TW
高级活动报告,高級活動報告,zh-TW
上級レポート,高級活動報告,zh-TW
Advanced Activity Report,高級活動報告,zh-TW
상급 활동 보고서,高級活動報告,zh-TW
รายงานขั้นสูง,高級活動報告,zh-TW
最高级活动报告,最高級活動報告,zh-TW
最上級レポート,最高級活動報告,zh-TW
