source,target,tgt_lng
STRIKER,突击,zh-CN
SPECIAL,支援,zh-CN
爆発,爆发,zh-CN
爆炸,爆发,zh-CN
Explosive,爆发,zh-CN
폭발,爆发,zh-CN
ระเบิด,爆发,zh-CN
貫通,贯穿,zh-CN
Piercing,贯穿,zh-CN
관통,贯穿,zh-CN
เจาะเกราะ,贯穿,zh-CN
Mystic,神秘,zh-CN
신비,神秘,zh-CN
ลึกลับ,神秘,zh-CN
ノーマル,普通,zh-CN
常規,普通,zh-CN
Normal,普通,zh-CN
일반,普通,zh-CN
ทั่วไป,普通,zh-CN
振動,振动,zh-CN
Sonic,振动,zh-CN
진동,振动,zh-CN
สั่นสะเทือน,振动,zh-CN
様々,轮换,zh-CN
輪換,轮换,zh-CN
Varies,轮换,zh-CN
다양함,轮换,zh-CN
หลากหลาย,轮换,zh-CN
軽装備,轻装甲,zh-CN
輕型護甲,轻装甲,zh-CN
Light,轻装甲,zh-CN
경장갑,轻装甲,zh-CN
เกราะเบา,轻装甲,zh-CN
重型裝甲,重装甲,zh-CN
Heavy,重装甲,zh-CN
중장갑,重装甲,zh-CN
เกราะหนัก,重装甲,zh-CN
特殊裝甲,特殊装甲,zh-CN
Special,特殊装甲,zh-CN
특수장갑,特殊装甲,zh-CN
เกราะพิเศษ,特殊装甲,zh-CN
弾力装甲,弹力装甲,zh-CN
彈性裝甲,弹力装甲,zh-CN
Elastic,弹力装甲,zh-CN
탄력장갑,弹力装甲,zh-CN
เกราะยืดหยุ่น,弹力装甲,zh-CN
通常装甲,一般装甲,zh-CN
常規護甲,一般装甲,zh-CN
Normal,一般装甲,zh-CN
일반장갑,一般装甲,zh-CN
เกราะทั่วไป,一般装甲,zh-CN
構造物,结构物,zh-CN
結構物,结构物,zh-CN
Structure,结构物,zh-CN
구조물,结构物,zh-CN
สิ่งปลูกสร้าง,结构物,zh-CN
Light Armor,轻装甲,zh-CN
Heavy Armor,重装甲,zh-CN
Special Armor,特殊装甲,zh-CN
Elastic Armor,弹力装甲,zh-CN
Normal Armor,一般装甲,zh-CN
เกราะปกติ,一般装甲,zh-CN
アタッカー,输出,zh-CN
輸出,输出,zh-CN
Dealer,输出,zh-CN
딜러,输出,zh-CN
タンク,坦克,zh-CN
Tank,坦克,zh-CN
탱커,坦克,zh-CN
Tanker,坦克,zh-CN
ヒーラー,治疗,zh-CN
補師,治疗,zh-CN
Healer,治疗,zh-CN
힐러,治疗,zh-CN
サポーター,辅助,zh-CN
輔助,辅助,zh-CN
Support,辅助,zh-CN
서포터,辅助,zh-CN
Supporter,辅助,zh-CN
戰術支援,T.S,zh-CN
T.S.,T.S,zh-CN
市街地,街区,zh-CN
市區,街区,zh-CN
Street,街区,zh-CN
시가지,街区,zh-CN
เขตเมือง,街区,zh-CN
屋外,野外,zh-CN
室外,野外,zh-CN
Outdoor,野外,zh-CN
야외,野外,zh-CN
กลางแจ้ง,野外,zh-CN
屋内,室内,zh-CN
室內,室内,zh-CN
Indoor,室内,zh-CN
실내,室内,zh-CN
ในอาคาร,室内,zh-CN
通常攻撃,普通攻击,zh-CN
普通攻擊,普通攻击,zh-CN
Normal Attack,普通攻击,zh-CN
일반 공격,普通攻击,zh-CN
การโจมตีทั่วไป,普通攻击,zh-CN
通常攻撃（強化版）,普通攻击(增强),zh-CN
普通攻擊(增強),普通攻击(增强),zh-CN
Normal Attack (Augmented),普通攻击(增强),zh-CN
일반 공격(강화),普通攻击(增强),zh-CN
การโจมตีทั่วไป (เสริมพลัง),普通攻击(增强),zh-CN
EXスキル,EX技能,zh-CN
EX Skill,EX技能,zh-CN
EX 스킬,EX技能,zh-CN
สกิล EX,EX技能,zh-CN
ノーマルスキル,普通技能,zh-CN
基本技能,普通技能,zh-CN
Basic Skill,普通技能,zh-CN
기본 스킬,普通技能,zh-CN
สกิลพื้นฐาน,普通技能,zh-CN
ノーマルスキル＋,普通技能＋,zh-CN
基本技能＋,普通技能＋,zh-CN
Basic Skill+,普通技能＋,zh-CN
기본 스킬+,普通技能＋,zh-CN
สกิลพื้นฐาน+,普通技能＋,zh-CN
パッシブスキル,被动技能,zh-CN
強化技能,被动技能,zh-CN
Enhanced Skill,被动技能,zh-CN
강화 스킬,被动技能,zh-CN
สกิลติดตัว,被动技能,zh-CN
パッシブスキル＋,被动技能＋,zh-CN
強化技能＋,被动技能＋,zh-CN
Enhanced Skill+,被动技能＋,zh-CN
강화 스킬+,被动技能＋,zh-CN
สกิลติดตัว+,被动技能＋,zh-CN
サブスキル,子技能,zh-CN
Sub Skill,子技能,zh-CN
서브 스킬,子技能,zh-CN
สกิลรอง,子技能,zh-CN
通常攻撃,普攻,zh-CN
Normal Attack,普攻,zh-CN
일반 공격,普攻,zh-CN
การโจมตีทั่วไป,普攻,zh-CN
EX,EX技能,zh-CN
ノーマル,普通技能,zh-CN
Basic,普通技能,zh-CN
기본,普通技能,zh-CN
พื้นฐาน,普通技能,zh-CN
ノーマル＋,普通技能＋,zh-CN
Basic+,普通技能＋,zh-CN
기본+,普通技能＋,zh-CN
พื้นฐาน+,普通技能＋,zh-CN
パッシブ,被动技能,zh-CN
Enhanced,被动技能,zh-CN
강화,被动技能,zh-CN
ติดตัว,被动技能,zh-CN
パッシブ＋,被动技能＋,zh-CN
Enhanced+,被动技能＋,zh-CN
강화+,被动技能＋,zh-CN
ติดตัว+,被动技能＋,zh-CN
サブ,子技能,zh-CN
Sub,子技能,zh-CN
서브,子技能,zh-CN
รอง,子技能,zh-CN
レベル,等级,zh-CN
等級,等级,zh-CN
Level,等级,zh-CN
레벨,等级,zh-CN
เลเวล,等级,zh-CN
最大HP,最大体力,zh-CN
生命值,最大体力,zh-CN
Max HP,最大体力,zh-CN
최대 체력,最大体力,zh-CN
HP สูงสุด,最大体力,zh-CN
攻撃力,攻击力,zh-CN
攻擊力,攻击力,zh-CN
ATK,攻击力,zh-CN
공격력,攻击力,zh-CN
ค่าโจมตี,攻击力,zh-CN
防禦力,防御力,zh-CN
DEF,防御力,zh-CN
방어력,防御力,zh-CN
ค่าป้องกัน,防御力,zh-CN
治癒力,治疗力,zh-CN
Healing,治疗力,zh-CN
치유력,治疗力,zh-CN
ค่ารักษา,治疗力,zh-CN
命中値,命中值,zh-CN
Accuracy,命中值,zh-CN
명중 수치,命中值,zh-CN
ค่าความแม่นยำ,命中值,zh-CN
回避値,闪避值,zh-CN
迴避值,闪避值,zh-CN
Evasion,闪避值,zh-CN
회피 수치,闪避值,zh-CN
ค่าหลบหลีก,闪避值,zh-CN
会心値,暴击值,zh-CN
暴擊值,暴击值,zh-CN
Crit,暴击值,zh-CN
치명 수치,暴击值,zh-CN
ค่าคริ,暴击值,zh-CN
会心ダメージ,暴击伤害,zh-CN
暴擊傷害,暴击伤害,zh-CN
Crit DMG,暴击伤害,zh-CN
치명 대미지,暴击伤害,zh-CN
ความเสียหายคริ,暴击伤害,zh-CN
被回復率,受恢复率,zh-CN
受回復率強化,受恢复率,zh-CN
Recovery Boost,受恢复率,zh-CN
받는 회복 효과 강화율,受恢复率,zh-CN
อัตราเร่งการฟื้นฟู,受恢复率,zh-CN
CC強化力,群控强化,zh-CN
群控強化力,群控强化,zh-CN
CC Power,群控强化,zh-CN
군중 제어 강화력,群控强化,zh-CN
ประสิทธิภาพกดขี่,群控强化,zh-CN
CC抵抗力,群控抵抗,zh-CN
群控抵抗力,群控抵抗,zh-CN
CC RES,群控抵抗,zh-CN
군중 제어 저항력,群控抵抗,zh-CN
ต้านทานกดขี่,群控抵抗,zh-CN
会心発生抵抗力,暴击抵抗力,zh-CN
暴擊抵抗值,暴击抵抗力,zh-CN
Crit RES,暴击抵抗力,zh-CN
치명 저항력,暴击抵抗力,zh-CN
ต้านทานคริ,暴击抵抗力,zh-CN
会心ダメージ抵抗率,暴击伤害抵抗率,zh-CN
暴擊傷害抵抗率,暴击伤害抵抗率,zh-CN
Crit DMG RES,暴击伤害抵抗率,zh-CN
치명 대미지 저항률,暴击伤害抵抗率,zh-CN
อัตราต้านทานความเสียหายคริ,暴击伤害抵抗率,zh-CN
安定値,稳定值,zh-CN
穩定值,稳定值,zh-CN
Stability,稳定值,zh-CN
안정 수치,稳定值,zh-CN
ค่าความเสถียร,稳定值,zh-CN
安定率,稳定率,zh-CN
穩定率,稳定率,zh-CN
Stability Rate,稳定率,zh-CN
안정률,稳定率,zh-CN
ค่าความเสถียร,稳定率,zh-CN
通常攻撃の射程,普通攻击射程,zh-CN
射程,普通攻击射程,zh-CN
Normal Attack Range,普通攻击射程,zh-CN
일반공격 사거리,普通攻击射程,zh-CN
ระยะโจมตีทั่วไป,普通攻击射程,zh-CN
装弾数,装弹数,zh-CN
載彈量,装弹数,zh-CN
Mag Count,装弹数,zh-CN
장탄 수,装弹数,zh-CN
จำนวนกระสุน,装弹数,zh-CN
通常攻撃消費弾数,普通攻击弹药消耗,zh-CN
普通攻擊彈藥消耗,普通攻击弹药消耗,zh-CN
Normal Attack Cost,普通攻击弹药消耗,zh-CN
기본공격 소비 탄 수,普通攻击弹药消耗,zh-CN
จำนวนกระสุนที่ใช้,普通攻击弹药消耗,zh-CN
移動速度,移动速度,zh-CN
MOV SPD,移动速度,zh-CN
이동속도,移动速度,zh-CN
ความเร็วเคลื่อนที่,移动速度,zh-CN
与ダメージ倍率,增伤率(敌),zh-CN
增傷率(敵),增伤率(敌),zh-CN
DMG Dealt (Enemy),增伤率(敌),zh-CN
주는 대미지량,增伤率(敌),zh-CN
ความเสียหายที่ทำได้,增伤率(敌),zh-CN
与ダメージ倍率,增伤率,zh-CN
增傷率,增伤率,zh-CN
DMG Dealt,增伤率,zh-CN
주는 대미지량,增伤率,zh-CN
ความเสียหายที่ทำได้,增伤率,zh-CN
被ダメージ倍率,免伤率(敌),zh-CN
免傷率(敵),免伤率(敌),zh-CN
DMG Resist (Enemy),免伤率(敌),zh-CN
받는 대미지량,免伤率(敌),zh-CN
