source,target,tgt_lng
"""Coisas Brilhantes"" Coletadas: {q_count}/20",수집한 「반짝이는 물건」 {q_count}/20,ko-KR
"""Coisas Brilhantes"" Coletadas: {q_count}/35",수집한 「반짝이는 물건」 {q_count}/35,ko-KR
"""Dorothy""",「도로시」,ko-KR
"""Esfera Armilar Celeste""",「등소기」,ko-KR
"""Lollo Joy Album"" Photo Quest",「무무 웃음 모음집」 촬영 임무,ko-KR
"""Mountain Road"" Challenge",「산악 도로」 도전,ko-KR
"""Perfect Trade""",「완벽한 거래」,ko-KR
"""Return home""",「집에 돌아가 보기」,ko-KR
"""Return home""",「집으로 돌아가기」,ko-KR
"""Shiny Things"" Collected: {q_count}/20",수집한 「반짝이는 물건」 {q_count}/20,ko-KR
"""Shiny Things"" Collected: {q_count}/35",수집한 「반짝이는 물건」 {q_count}/35,ko-KR
"""Skyscribe Armillary""",「등소기」,ko-KR
"""Soliskin in the Cave""",「동굴 속 태양의 정령」,ko-KR
"""Soliskin ในถ้ำ""",「동굴 속 태양의 정령」,ko-KR
"""Statement of Accountability""",「반성문」,ko-KR
"""Vernichte das Überbleibsel""",잔상 처치,ko-KR
"""Voltar para casa""",「집에 돌아가 보기」,ko-KR
"""Voltar para casa""",「집으로 돌아가기」,ko-KR
"""กลับบ้าน""",「집으로 돌아가기」,ko-KR
"""กลับมาเยี่ยมบ้าน""",「집에 돌아가 보기」,ko-KR
"""การค้าขายสมบูรณ์แบบ""",「완벽한 거래」,ko-KR
"""ความคืบหน้าของฉัน"" ถึง 200 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",『세컨드 솔라리스』 콜라보 시즌 이벤트에서 개인 진행도 200 달성,ko-KR
"""ความคืบหน้าของฉัน"" ถึง 400 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",『세컨드 솔라리스』 콜라보 시즌 이벤트에서 개인 진행도 400 달성,ko-KR
"""ความคืบหน้าของฉัน"" ถึง 600 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",『세컨드 솔라리스』 콜라보 시즌 이벤트에서 개인 진행도 600 달성,ko-KR
"""ความคืบหน้าของฉัน"" ถึง 800 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",『세컨드 솔라리스』 콜라보 시즌 이벤트에서 개인 진행도 800 달성,ko-KR
"""ชำระล้าง"" ครั้งสุดท้ายให้เสร็จสิ้น",마지막 「정화」 완료하러 가기,ko-KR
"""ชำระล้าง"" ผู้หลงเหลือ",떠나간 사람 「정화하기」,ko-KR
"""บันทึกจากวงแหวนส่องนภา""",「순소환이 남긴 기록」,ko-KR
"""บันทึกถูกทิ้ง - 2""",『폐기된 일기 · Ⅱ』,ko-KR
"""ผู้หลงเหลือ?""",「떠나간 사람?」,ko-KR
"""ยอดนักยิงจันทรา"" เวลาจำกัด",시간 제한 「달병 맞히기」 도전,ko-KR
"""รายงานสำนึก""",「반성문」,ko-KR
"""สมุดบันทึกที่ถูกทิ้งร้าง ตอนที่ 1""",『폐기된 일기 · Ⅰ』,ko-KR
"""สมุดบันทึกสุดท้าย""",『폐기된 일기 · 마지막』,ko-KR
"""สายสัมพันธ์"" ของเราต้องเข้มแข็งกว่านี้",「연결」은 더 긴밀해야 해요,ko-KR
"""เขตแดนแห่งโล่"" ครอบคลุมพื้นที่ทั้งหมด จะมอบโล่ให้แก่เรโซเนเตอร์",실드 영역이 전체 필드를 뒤덮어 캐릭터에게 실드를 제공한다,ko-KR
"""แช่อ่าง"" ด้วยกันกับ Tubpup",욕조견과 함께 「목욕하기」,ko-KR
#N/A,test/,ko-KR
#N/A,목표 구역에 도달,ko-KR
#N/A,안녕하세요,ko-KR
(Calamity Effigy),(하늘의 기관 인형 · 겁살),ko-KR
(Cumprimentar o Cãobanheira),욕조견에게 인사하기,ko-KR
(Di Realm),(땅의 경계),ko-KR
(Di-Reich),(땅의 경계),ko-KR
(Effigie de la Calamité),(하늘의 기관 인형 · 겁살),ko-KR
(Efigie de Calamidad),(하늘의 기관 인형 · 겁살),ko-KR
(Efígie da Calamidade),(하늘의 기관 인형 · 겁살),ko-KR
(Empfohlen) Schmiede „Wächter-Schwert“,(추천) 무기 제작 「수호자의 직검 · 기민」,ko-KR
(Faculatif) Se rendre à la Cathédrale du Mercure en utilisant la Railée,(옵션) 「케루브」 탑승하여 머큐리 성당으로 이동하기,ko-KR
(Faculatif) Se rendre à la destination en utilisant la Railée,(옵션) 「케루브」를 타고 목적지로 이동,ko-KR
(Faculatif) Se renseigner auprès des employés du port à proximité,(옵션) 주변 항구 직원에게 소문 알아보기,ko-KR
(Facultatif) Accompagner Danjin,(옵션) 단근과 동승하기,ko-KR
(Facultatif) Accéder au toit par un « raccourci »,(옵션)「지름길」을 통해 옥상으로 올라가기,ko-KR
(Facultatif) Accéder aux amphithéâtres par un « raccourci »,(옵션) 「지름길」을 통해 학부 강의동으로 이동하기,ko-KR
(Facultatif) Activer la petite balise,(옵션) 소형 비콘 활성화,ko-KR
(Facultatif) Allez aux Ruines paisibles avec Chuxiu,(옵션) 초수와 함께 적막한 폐허로 이동하기,ko-KR
(Facultatif) Briser les cocons de glace pour désactiver l'effet des dégâts sur la durée,모든 얼음 고치를 격파하여 자신이 받는 지속적 피해 효과 제거,ko-KR
(Facultatif) Chercher dans les eaux à proximité,(옵션) 근처 수역에서 찾기,ko-KR
(Facultatif) Chercher des indices avec le Senseur,(옵션) 「스캔」을 사용하여 빠르게 단서 찾기,ko-KR
(Facultatif) Collecter des matériaux médicinaux à la zone abondante,(옵션) 약재 군생지로 이동하기,ko-KR
(Facultatif) Contacter Cantarella,(옵션) 칸타렐라와 통신하기,ko-KR
(Facultatif) Continuer à chercher des indices,(옵션) 계속 단서 찾기,ko-KR
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,권한 장치를 사용하여 경비원 제어하기,ko-KR
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,권한 장치를 사용하여 제어하기,ko-KR
(Facultatif) Demander aux Septimontais leur avis sur la Lionne glorieuse,(옵션) 일곱 언덕 사람들의 영광의 사자에 대한 의견 조사,ko-KR
(Facultatif) Demander aux Septimontais leur avis sur la Sentinelle,(옵션) 일곱 언덕 사람들의 수호신에 대한 의견 조사,ko-KR
(Facultatif) Descendre la montagne en ski,(옵션) 스키 타며 하산하기,ko-KR
(Facultatif) Dire au revoir à tout le monde avant de partir,(옵션) 모두와 작별 인사 후 떠나기,ko-KR
(Facultatif) Discuter avec Danjin,(옵션) 단근과 대화하기,ko-KR
(Facultatif) Discuter avec Meilleur vendeur,(옵션) 최고 판매원과 대화하기,ko-KR
(Facultatif) Discuter avec Polmes,(옵션) 셜록폰과 대화하기,ko-KR
(Facultatif) Découvrir ce que fait Lynae,(옵션) 린네가 무엇을 하고 있는지 확인하기,ko-KR
(Facultatif) Découvrir ce que fait Sigrika,(옵션) 시그리카가 무엇을 하고 있는지 확인하기,ko-KR
(Facultatif) Découvrir la Simulation : Potions de résonance,(옵션) 시뮬레이션 영역 파악: 공명 촉진제,ko-KR
(Facultatif) Enquêter autour de vous,(옵션) 현장 조사하기,ko-KR
(Facultatif) Entrer dans le Somnoire anormal,(옵션) 이상한 마음의 영역 직접 진입하기,ko-KR
(Facultatif) Esquiver 10 attaques,회피 성공 10회 달성,ko-KR
(Facultatif) Esquiver 5 attaques,회피 성공 5회 달성,ko-KR
(Facultatif) Esquivez 10 attaques de l'ennemi,회피 성공 횟수 10회 달성,ko-KR
(Facultatif) Esquivez 5 attaques de l'ennemi,회피 성공 횟수 5회 달성,ko-KR
(Facultatif) Examiner l'album de Lucilla,(옵션) 루실라의 앨범 확인하기,ko-KR
(Facultatif) Examiner la Fresque,(옵션) 벽화 관찰하기,ko-KR
(Facultatif) Examiner la fréquence perdue,(옵션) 길 잃은 주파수 확인하기,ko-KR
(Facultatif) Examiner la fréquence perdue I,(옵션) 길 잃은 주파수 확인하기 · Ⅰ,ko-KR
(Facultatif) Examiner la fréquence perdue II,(옵션) 길 잃은 주파수 확인하기 · Ⅱ,ko-KR
(Facultatif) Examiner la fréquence perdue III,(옵션) 길 잃은 주파수 확인하기 · Ⅲ,ko-KR
(Facultatif) Examiner la table,(옵션) 책상 확인하기,ko-KR
(Facultatif) Examiner la table d'opération,(옵션) 수술대 확인하기,ko-KR
(Facultatif) Examiner le cabinet médical,(옵션) 약품 캐비닛 확인하기,ko-KR
(Facultatif) Examiner le camp d'Aeolus,(옵션) 아이올루스의 거점 조사하기,ko-KR
(Facultatif) Examiner le frigo,(옵션) 냉장고 확인하기,ko-KR
(Facultatif) Examiner les appareils de recherche,(옵션) 연구 용품 확인하기,ko-KR
(Facultatif) Explorer la zone des tuyaux,(옵션) 배관 구역 탐색,ko-KR
(Facultatif) Explorer le Petit monde cubique,(옵션) 새알심의 세계 구경하기,ko-KR
(Facultatif) Explorer le Petit monde cubique,장리 새알심과 대화하기,ko-KR
(Facultatif) Explorer le camp et parler à Brax,"(옵션) 캠프를 탐색하고, 브락스와 대화하여 정보 알아보기",ko-KR
(Facultatif) Explorer le camp et parler à Rokan,"(옵션) 캠프를 탐색하고, 로칸과 대화하여 정보 알아보기",ko-KR
(Facultatif) Explorer le premier étage pour plus d'information,(옵션) 1층에 있는 더 많은 정보를 조사하기,ko-KR
(Facultatif) Gravir la montagne avec Chuxiu,(옵션) 초수와 함께 산 오르기,ko-KR
(Facultatif) Interroger Scar,(옵션) 스카에게 질문하기,ko-KR
(Facultatif) Jeter un coup d'œil autour du restaurant,(옵션) 레스토랑 주변 상황 조사하기,ko-KR
(Facultatif) Libérer « Ramollo »,(옵션) 잔상 「늘보」를 고통에서 벗어나게 하기,ko-KR
(Facultatif) Lire la lettre de Carlotta,(옵션) 카를로타의 의뢰 편지 읽기,ko-KR
(Facultatif) Lire la lettre de l'Ordre,(옵션) 수도회의 의뢰 편지 읽기,ko-KR
(Facultatif) Lire le message dans la chambre,(옵션) 방 안의 메모 읽기,ko-KR
(Facultatif) Lire les pages à proximité,근처에 있는 책 읽기,ko-KR
(Facultatif) Observer la Méduse Rose-Gélatine,(옵션) 붉은 해파리 관찰하기,ko-KR
(Facultatif) Observer la Pomme de mer,(옵션) 바다사과 관찰하기,ko-KR
(Facultatif) Parler aux autres participants,(옵션) 다른 참가 선수들과 대화하기,ko-KR
(Facultatif) Parler aux enfants,(옵션) 근처 어린 아이에게 물어보기,ko-KR
(Facultatif) Parler aux enfants à propos du bonbon,(옵션) 어린 아이에게 캡슐 사탕에 대한 정보 묻기,ko-KR
(Facultatif) Parler aux personnes aux alentours pour obtenir des informations sur Duzhou,(옵션) 주변 사람들에게 도주의 소식 알아보기,ko-KR
(Facultatif) Parler aux résidents de Hongzhen,(옵션) 피난하는 홍진 마을 주민과 대화하기,ko-KR
(Facultatif) Parler aux élèves,(옵션) 학생과 대화하기,ko-KR
(Facultatif) Parler aux étudiants confus,(옵션) 막막한 학생과 대화하기,ko-KR
(Facultatif) Parler avec KU-Roro étrange,(옵션) 수상한 쿠 · 로로와 대화하기,ko-KR
(Facultatif) Parler à Aalto,알토에게 물어보기(선택),ko-KR
(Facultatif) Parler à Aalto au sujet du robot,알토에게 로봇에 대해 물어보기(선택),ko-KR
(Facultatif) Parler à Bardolino,(옵션) 바도리오와 대화하기,ko-KR
(Facultatif) Parler à Camellya,(옵션) 카멜리아와 이야기하기,ko-KR
(Facultatif) Parler à Cantarella,(옵션) 칸타렐라와 대화하기,ko-KR
