source,target,tgt_lng
Aletler ve Araçlar,Herramientas y útiles,es-ES
Alimentos e bebidas,Comida y bebida,es-ES
Attrezzi e utilità,Herramientas y útiles,es-ES
Barras rápidas salvas,Barras de objetos guardadas,es-ES
Barre rapide salvate,Barras de objetos guardadas,es-ES
Barres d'action sauvegardées,Barras de objetos guardadas,es-ES
Baublöcke,Bloques de construcción,es-ES
Blocchi colorati,Bloques de colores,es-ES
Blocchi da costruzione,Bloques de construcción,es-ES
Blocchi funzionali,Bloques funcionales,es-ES
Blocchi naturali,Bloques naturales,es-ES
Blocos coloridos,Bloques de colores,es-ES
Blocos de construção,Bloques de construcción,es-ES
Blocos de operador,Herramientas de admin.,es-ES
Blocos de Redstone,Redstone,es-ES
Blocos funcionais,Bloques funcionales,es-ES
Blocos naturais,Bloques naturales,es-ES
Blocs colorés,Bloques de colores,es-ES
Blocs de construction,Bloques de construcción,es-ES
Blocs fonctionnels,Bloques funcionales,es-ES
Blocs naturels,Bloques naturales,es-ES
Building Blocks,Bloques de construcción,es-ES
Buscar itens,Búsqueda,es-ES
Cerca...,Búsqueda,es-ES
Chiến đấu,Combate,es-ES
Chế tạo,Materiales,es-ES
Cibi e bevande,Comida y bebida,es-ES
Colored Blocks,Bloques de colores,es-ES
Combat,Combate,es-ES
Combattimento,Combate,es-ES
Consommables,Consumibles,es-ES
Consumabili,Consumibles,es-ES
Consumables,Consumibles,es-ES
Consumíveis,Consumibles,es-ES
Crafting,Materiales,es-ES
Công cụ & tiện ích,Herramientas y útiles,es-ES
Doğal Bloklar,Bloques naturales,es-ES
Eşya Ara,Búsqueda,es-ES
Fabbricazione,Materiales,es-ES
Fabrication,Materiales,es-ES
Fabricação,Materiales,es-ES
Farbige Blöcke,Bloques de colores,es-ES
Ferramentas e utilidades,Herramientas y útiles,es-ES
Food & Drinks,Comida y bebida,es-ES
Functional Blocks,Bloques funcionales,es-ES
Gebrauchsblöcke,Bloques funcionales,es-ES
Gespeicherte Schnellzugriffsleisten,Barras de objetos guardadas,es-ES
Hayatta Kalma Envanteri,Inventario de supervivencia,es-ES
Ingredienti,Ingredientes,es-ES
Ingredients,Ingredientes,es-ES
Ingrédients,Ingredientes,es-ES
Inventaire du mode Survie,Inventario de supervivencia,es-ES
Inventario,Inventario de supervivencia,es-ES
Inventário de Sobrevivência,Inventario de supervivencia,es-ES
İnşaat Blokları,Bloques de construcción,es-ES
İşlevsel Bloklar,Bloques funcionales,es-ES
Kampf,Combate,es-ES
Kaydedilen Araç Çubukları,Barras de objetos guardadas,es-ES
Khối chức năng,Bloques funcionales,es-ES
Khối màu sắc,Bloques de colores,es-ES
Khối Redstone,Redstone,es-ES
Khối tự nhiên,Bloques naturales,es-ES
Khối xây dựng,Bloques de construcción,es-ES
Malzemeler,Ingredientes,es-ES
Nahrungsmittel & Tränke,Comida y bebida,es-ES
Nahrungsmittel & Tränke,Consumibles,es-ES
Natural Blocks,Bloques naturales,es-ES
Naturblöcke,Bloques naturales,es-ES
Nguyên liệu,Ingredientes,es-ES
Nourriture et boissons,Comida y bebida,es-ES
Operator Utilities,Herramientas de admin.,es-ES
Operatorhilfsmittel,Herramientas de admin.,es-ES
Outils et utilitaires,Herramientas y útiles,es-ES
Ovos geradores,Criaturas,es-ES
Rechercher,Búsqueda,es-ES
Redstone Blocks,Redstone,es-ES
Redstone Blokları,Redstone,es-ES
Renkli Bloklar,Bloques de colores,es-ES
Saldırı,Combate,es-ES
Saved Hotbars,Barras de objetos guardadas,es-ES
Search Items,Búsqueda,es-ES
Spawn Eggs,Criaturas,es-ES
Spawn‐Eier,Criaturas,es-ES
Suche,Búsqueda,es-ES
Survival Inventory,Inventario de supervivencia,es-ES
Thanh nóng đã lưu,Barras de objetos guardadas,es-ES
Thực phẩm & đồ uống,Comida y bebida,es-ES
Tiện ích người điều hành,Herramientas de admin.,es-ES
Tools & Utilities,Herramientas y útiles,es-ES
Trứng sinh ra,Criaturas,es-ES
Tìm vật phẩm,Búsqueda,es-ES
Túi đồ chế độ sinh tồn,Inventario de supervivencia,es-ES
Tüketilebilirler,Consumibles,es-ES
Uova generatrici,Criaturas,es-ES
Utilitaires d'opérateur,Herramientas de admin.,es-ES
Utilità per operatori,Herramientas de admin.,es-ES
Vật phẩm tiêu thụ,Consumibles,es-ES
Werkstoffe,Ingredientes,es-ES
Werkstoffe,Materiales,es-ES
Werkzeuge & Hilfsmittel,Herramientas y útiles,es-ES
Yiyecek ve İçecekler,Comida y bebida,es-ES
Yönetici Araçları,Herramientas de admin.,es-ES
Çağırma Yumurtaları,Criaturas,es-ES
Überlebensinventar,Inventario de supervivencia,es-ES
Üretim,Materiales,es-ES
Œufs d'apparition,Criaturas,es-ES
Еда и напитки,Comida y bebida,es-ES
Еда и напитки,Consumibles,es-ES
